case_id,distance_bucket,service_level,warehouse_code,hub_code,port_code,is_cross_border
ORD_5260181590,2,1,WH_HCM_01,HUB_HA_NOI,,0
ORD_6723268656,2,1,WH_DN_01,HUB_HA_NOI,,0
ORD_6668364507,2,1,WH_HCM_02,HUB_TAN_BINH,,0
ORD_1923969372,2,1,WH_HCM_01,HUB_BINH_TAN,HAI_PHONG,1
ORD_1636246770,2,2,WH_HN_01,HUB_TAN_BINH,,0
ORD_2676749544,3,1,WH_HCM_01,HUB_BINH_TAN,,0
ORD_6289332976,2,2,WH_HCM_01,HUB_HA_NOI,,0
ORD_6374536040,1,1,WH_HCM_02,HUB_HA_NOI,,0
ORD_8397641323,3,1,WH_HCM_02,HUB_THU_DUC,,0
ORD_6304046335,1,2,WH_DN_01,HUB_BINH_TAN,HAI_PHONG,1
ORD_2967000891,2,1,WH_HN_01,HUB_BINH_TAN,,0
ORD_4700894595,3,1,WH_DN_01,HUB_TAN_BINH,,0
ORD_6993100026,4,1,WH_HCM_02,HUB_THU_DUC,,0
ORD_8958836194,4,1,WH_DN_01,HUB_THU_DUC,,0
ORD_6642385052,3,0,WH_HCM_01,HUB_HA_NOI,DA_NANG,1
ORD_8452237344,4,1,WH_HCM_01,HUB_HA_NOI,CAI_MEP,1
ORD_5031563635,2,1,WH_HN_01,HUB_THU_DUC,CAI_MEP,1
ORD_6109749711,2,2,WH_DN_01,HUB_THU_DUC,,0
ORD_0250302436,2,1,WH_HN_01,HUB_BINH_TAN,CAT_LAI,1
ORD_9152138551,1,1,WH_DN_01,HUB_HA_NOI,DA_NANG,1
ORD_3600848826,4,1,WH_HCM_02,HUB_HA_NOI,,0
ORD_1140618836,2,2,WH_DN_01,HUB_BINH_TAN,CAT_LAI,1
ORD_3201144686,4,1,WH_DN_01,HUB_TAN_BINH,,0
ORD_8248617665,1,1,WH_HCM_02,HUB_THU_DUC,,0
ORD_1781271398,1,1,WH_HCM_01,HUB_THU_DUC,CAT_LAI,1
ORD_1494746140,4,1,WH_HCM_01,HUB_TAN_BINH,,0
ORD_6121546608,2,1,WH_HN_01,HUB_THU_DUC,,0
ORD_6469855566,3,1,WH_DN_01,HUB_BINH_TAN,DA_NANG,1
ORD_6350531956,2,0,WH_HCM_02,HUB_HA_NOI,DA_NANG,1
ORD_6123561459,2,1,WH_HCM_02,HUB_BINH_TAN,CAT_LAI,1
ORD_9757793457,2,1,WH_HCM_02,HUB_HA_NOI,,0
ORD_5645151182,1,2,WH_HCM_02,HUB_HA_NOI,,0
ORD_2349852081,2,2,WH_HCM_02,HUB_BINH_TAN,,0
ORD_5927020442,1,1,WH_HCM_01,HUB_THU_DUC,,0
ORD_6769882943,2,1,WH_HN_01,HUB_THU_DUC,CAT_LAI,1
ORD_0698657472,2,1,WH_HCM_02,HUB_TAN_BINH,DA_NANG,1
ORD_7492885955,1,2,WH_HCM_01,HUB_BINH_TAN,,0
ORD_0777476341,2,1,WH_HCM_01,HUB_TAN_BINH,,0
ORD_8160173238,1,1,WH_HN_01,HUB_HA_NOI,,0
ORD_6890526883,3,1,WH_HN_01,HUB_BINH_TAN,CAI_MEP,1
ORD_8317987422,2,1,WH_HCM_02,HUB_THU_DUC,,0
ORD_9635085337,2,1,WH_DN_01,HUB_TAN_BINH,,0
ORD_5271049964,1,1,WH_HN_01,HUB_TAN_BINH,DA_NANG,1
ORD_5894726746,1,1,WH_DN_01,HUB_TAN_BINH,,0
ORD_9976820190,1,1,WH_HCM_02,HUB_HA_NOI,,0
ORD_8516749286,3,2,WH_HN_01,HUB_TAN_BINH,,0
ORD_6649071881,2,1,WH_DN_01,HUB_BINH_TAN,CAI_MEP,1
ORD_5696732762,2,1,WH_HCM_02,HUB_HA_NOI,HAI_PHONG,1
ORD_6232527208,1,1,WH_DN_01,HUB_HA_NOI,,0
ORD_4919696402,3,2,WH_HCM_02,HUB_TAN_BINH,HAI_PHONG,1
ORD_1708884234,2,2,WH_HN_01,HUB_TAN_BINH,,0
ORD_0437695220,1,2,WH_HCM_01,HUB_TAN_BINH,DA_NANG,1
ORD_7859744874,2,1,WH_HN_01,HUB_THU_DUC,,0
ORD_7168012352,2,2,WH_HN_01,HUB_BINH_TAN,DA_NANG,1
ORD_2144345115,2,1,WH_DN_01,HUB_THU_DUC,,0
ORD_7302123729,2,1,WH_HCM_02,HUB_BINH_TAN,CAT_LAI,1
ORD_0866381239,2,1,WH_HCM_02,HUB_TAN_BINH,DA_NANG,1
ORD_3057928594,4,1,WH_HCM_01,HUB_TAN_BINH,,0
ORD_1670281537,3,1,WH_HCM_01,HUB_BINH_TAN,CAT_LAI,1
ORD_4760634308,1,1,WH_DN_01,HUB_HA_NOI,,0
ORD_5603281073,3,1,WH_DN_01,HUB_BINH_TAN,,0
