threshold,accuracy,precision,recall,f1,predicted_positive_rate,tp,fp,tn,fn
0.1,0.11021505376344086,0.11021505376344086,1.0,0.19854721549636803,1.0,41,331,0,0
0.15000000000000002,0.11290322580645161,0.1105121293800539,1.0,0.19902912621359223,0.9973118279569892,41,330,1,0
0.20000000000000004,0.11559139784946236,0.11081081081081082,1.0,0.19951338199513383,0.9946236559139785,41,329,2,0
0.25000000000000006,0.12903225806451613,0.11232876712328767,1.0,0.2019704433497537,0.9811827956989247,41,324,7,0
0.30000000000000004,0.1586021505376344,0.11142857142857143,0.9512195121951219,0.19948849104859334,0.9408602150537635,39,311,20,2
0.3500000000000001,0.22849462365591397,0.11801242236024845,0.926829268292683,0.209366391184573,0.8655913978494624,38,284,47,3
0.40000000000000013,0.34139784946236557,0.11940298507462686,0.7804878048780488,0.20711974110032363,0.7204301075268817,32,236,95,9
0.45000000000000007,0.4543010752688172,0.09900990099009901,0.4878048780487805,0.1646090534979424,0.543010752688172,20,182,149,21
0.5000000000000001,0.6209677419354839,0.109375,0.34146341463414637,0.16568047337278108,0.34408602150537637,14,114,217,27
0.5500000000000002,0.7795698924731183,0.14035087719298245,0.1951219512195122,0.16326530612244897,0.1532258064516129,8,49,282,33
0.6000000000000002,0.8387096774193549,0.1935483870967742,0.14634146341463414,0.16666666666666666,0.08333333333333333,6,25,306,35
0.6500000000000001,0.8602150537634409,0.17647058823529413,0.07317073170731707,0.10344827586206896,0.0456989247311828,3,14,317,38
0.7000000000000002,0.8817204301075269,0.3333333333333333,0.07317073170731707,0.12,0.024193548387096774,3,6,325,38
0.7500000000000002,0.8870967741935484,0.3333333333333333,0.024390243902439025,0.045454545454545456,0.008064516129032258,1,2,329,40
0.8000000000000002,0.8897849462365591,0.0,0.0,0.0,0.0,0,0,331,41
0.8500000000000002,0.8897849462365591,0.0,0.0,0.0,0.0,0,0,331,41
0.9000000000000002,0.8897849462365591,0.0,0.0,0.0,0.0,0,0,331,41
