threshold,accuracy,precision,recall,f1,predicted_positive_rate,tp,fp,tn,fn
0.1,0.44565217391304346,0.44565217391304346,1.0,0.6165413533834586,1.0,123,153,0,0
0.15000000000000002,0.44565217391304346,0.44485294117647056,0.983739837398374,0.6126582278481013,0.9855072463768116,121,151,2,2
0.20000000000000004,0.45652173913043476,0.4490566037735849,0.967479674796748,0.6134020618556701,0.9601449275362319,119,146,7,4
0.25000000000000006,0.47101449275362317,0.4549019607843137,0.943089430894309,0.6137566137566137,0.9239130434782609,116,139,14,7
0.30000000000000004,0.4782608695652174,0.4567901234567901,0.9024390243902439,0.6065573770491803,0.8804347826086957,111,132,21,12
0.3500000000000001,0.5253623188405797,0.481651376146789,0.8536585365853658,0.6158357771260997,0.7898550724637681,105,113,40,18
0.40000000000000013,0.5434782608695652,0.49222797927461137,0.7723577235772358,0.6012658227848101,0.6992753623188406,95,98,55,28
0.45000000000000007,0.5869565217391305,0.5283018867924528,0.6829268292682927,0.5957446808510638,0.5760869565217391,84,75,78,39
0.5000000000000001,0.5797101449275363,0.5263157894736842,0.5691056910569106,0.546875,0.48188405797101447,70,63,90,53
0.5500000000000002,0.605072463768116,0.5686274509803921,0.4715447154471545,0.5155555555555555,0.3695652173913043,58,44,109,65
0.6000000000000002,0.644927536231884,0.6712328767123288,0.3983739837398374,0.5,0.2644927536231884,49,24,129,74
0.6500000000000001,0.6195652173913043,0.6607142857142857,0.3008130081300813,0.4134078212290503,0.2028985507246377,37,19,134,86
0.7000000000000002,0.5942028985507246,0.6666666666666666,0.17886178861788618,0.28205128205128205,0.11956521739130435,22,11,142,101
0.7500000000000002,0.5869565217391305,0.7142857142857143,0.12195121951219512,0.20833333333333334,0.07608695652173914,15,6,147,108
0.8000000000000002,0.572463768115942,0.7272727272727273,0.06504065040650407,0.11940298507462686,0.03985507246376811,8,3,150,115
0.8500000000000002,0.5688405797101449,0.8333333333333334,0.04065040650406504,0.07751937984496124,0.021739130434782608,5,1,152,118
0.9000000000000002,0.5615942028985508,1.0,0.016260162601626018,0.032,0.007246376811594203,2,0,153,121
