process_code,case_id,risk_score,anomaly_score,overall_severity,top_step_name,top_step_duration_min,top_step_p95,top_step_deviation_p95,top_step_zscore,top_step_severity,validation_warnings
IMPORT_CUSTOMS_CLEARANCE,ORD_1923969372,31.0,0.404765,NORMAL,STEP_013_CARGO_RELEASED,679.9,611.192,1.112,2.309,WATCHLIST,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_6304046335,57.0,0.424179,NORMAL,STEP_001_DOC_RECEIVED,52.5,47.446,1.107,2.26,WATCHLIST,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_6642385052,19.0,0.396271,NORMAL,STEP_016_CUSTOMS_CLOSEOUT,33.583,48.433,0.693,0.767,NORMAL,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_8452237344,3.0,0.380712,NORMAL,STEP_010_PAYMENT_CONFIRMED,362.717,441.608,0.821,1.189,NORMAL,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_5031563635,26.0,0.400991,NORMAL,STEP_016_CUSTOMS_CLOSEOUT,33.9,48.433,0.7,0.79,NORMAL,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_0250302436,4.0,0.38242,NORMAL,STEP_012_RELEASE_ORDER_ISSUED,399.05,593.958,0.672,0.707,NORMAL,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_9152138551,44.0,0.413896,NORMAL,STEP_004_SUBMIT_DECLARATION,43.1,50.083,0.861,1.411,NORMAL,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_1140618836,73.0,0.44188,CRITICAL,STEP_010_PAYMENT_CONFIRMED,771.133,441.608,1.746,4.371,CRITICAL,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_1781271398,88.0,0.473155,CRITICAL,STEP_005_RISK_CHANNELING,100.45,49.154,2.044,5.48,CRITICAL,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_6469855566,27.0,0.40185,NORMAL,STEP_004_SUBMIT_DECLARATION,40.533,50.083,0.809,1.227,NORMAL,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_6350531956,66.0,0.433776,ELEVATED,STEP_004_SUBMIT_DECLARATION,53.55,50.083,1.069,2.159,WATCHLIST,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_6123561459,94.0,0.498829,BOTTLENECK,STEP_008_LAB_TEST_COMPLETE,1440.0,1034.217,1.392,3.553,BOTTLENECK,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_6769882943,30.0,0.404136,BOTTLENECK,STEP_010_PAYMENT_CONFIRMED,549.683,441.608,1.245,2.646,BOTTLENECK,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_0698657472,2.0,0.378232,NORMAL,STEP_006_DOCUMENT_INSPECTION,815.5,1016.933,0.802,1.232,NORMAL,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_6890526883,38.0,0.40915,NORMAL,STEP_010_PAYMENT_CONFIRMED,503.967,441.608,1.141,2.289,WATCHLIST,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_5271049964,24.0,0.399766,NORMAL,STEP_010_PAYMENT_CONFIRMED,427.7,441.608,0.969,1.695,NORMAL,[]
