step_code,missing_case_count,step_label
STEP_001_DOC_RECEIVED,0,Doc Received
STEP_002_DOC_VALIDATION,0,Doc Validation
STEP_003_HS_CLASSIFICATION,0,Hs Classification
STEP_004_SUBMIT_DECLARATION,0,Submit Declaration
STEP_005_RISK_CHANNELING,0,Risk Channeling
STEP_006_DOCUMENT_INSPECTION,0,Document Inspection
STEP_007_PHYSICAL_INSPECTION_COMPLETE,0,Physical Inspection Complete
STEP_008_LAB_TEST_COMPLETE,0,Lab Test Complete
STEP_009_DUTY_TAX_INVOICE_ISSUED,0,Duty Tax Invoice Issued
STEP_010_PAYMENT_CONFIRMED,0,Payment Confirmed
STEP_011_CLEARANCE_APPROVED,0,Clearance Approved
STEP_012_RELEASE_ORDER_ISSUED,0,Release Order Issued
STEP_013_CARGO_RELEASED,0,Cargo Released
STEP_014_PORT_GATE_OUT,0,Port Gate Out
STEP_015_HANDOFF_TO_CARRIER,0,Handoff To Carrier
STEP_016_CUSTOMS_CLOSEOUT,0,Customs Closeout
