process_code,case_id,risk_score,anomaly_score,overall_severity,top_step_name,top_step_duration_min,top_step_p95,top_step_deviation_p95,top_step_zscore,top_step_severity,validation_warnings
IMPORT_CUSTOMS_CLEARANCE,ORD_4399774767,100.0,0.638609,CRITICAL,STEP_002_DOC_VALIDATION,59.717,30.15,1.981,5.072,CRITICAL,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_4024479908,99.0,0.625783,CRITICAL,STEP_013_CARGO_RELEASED,1183.617,611.192,1.937,5.243,CRITICAL,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_3534250077,99.0,0.624075,CRITICAL,STEP_013_CARGO_RELEASED,1364.967,611.192,2.233,6.299,CRITICAL,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_9973000099,99.0,0.599021,CRITICAL,STEP_007_PHYSICAL_INSPECTION_COMPLETE,1915.483,1018.504,1.881,5.263,CRITICAL,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_6003586467,99.0,0.593793,CRITICAL,STEP_013_CARGO_RELEASED,1440.0,611.192,2.356,6.736,CRITICAL,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_2256307830,99.0,0.592671,CRITICAL,STEP_004_SUBMIT_DECLARATION,88.133,50.083,1.76,4.636,CRITICAL,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_9730026919,99.0,0.591962,CRITICAL,STEP_012_RELEASE_ORDER_ISSUED,925.783,593.958,1.559,3.827,CRITICAL,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_7510137831,99.0,0.590941,BOTTLENECK,STEP_006_DOCUMENT_INSPECTION,1440.0,1016.933,1.416,3.497,BOTTLENECK,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_3424964033,99.0,0.589984,BOTTLENECK,STEP_006_DOCUMENT_INSPECTION,1440.0,1016.933,1.416,3.497,BOTTLENECK,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_1231040481,99.0,0.588821,CRITICAL,STEP_011_CLEARANCE_APPROVED,968.667,589.067,1.644,4.209,CRITICAL,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_6136765460,99.0,0.583382,BOTTLENECK,STEP_007_PHYSICAL_INSPECTION_COMPLETE,1440.0,1018.504,1.414,3.529,BOTTLENECK,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_1566160407,99.0,0.581893,CRITICAL,STEP_012_RELEASE_ORDER_ISSUED,974.35,593.958,1.64,4.115,CRITICAL,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_4184062092,99.0,0.580436,CRITICAL,STEP_006_DOCUMENT_INSPECTION,2435.283,1016.933,2.395,7.106,CRITICAL,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_3429959931,99.0,0.579501,CRITICAL,STEP_007_PHYSICAL_INSPECTION_COMPLETE,3086.033,1018.504,3.03,9.533,CRITICAL,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_6588539542,99.0,0.576407,BOTTLENECK,STEP_012_RELEASE_ORDER_ISSUED,862.517,593.958,1.452,3.452,BOTTLENECK,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_7358696977,99.0,0.575178,CRITICAL,STEP_012_RELEASE_ORDER_ISSUED,1510.6,593.958,2.543,7.291,CRITICAL,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_3722280112,99.0,0.571437,BOTTLENECK,STEP_006_DOCUMENT_INSPECTION,1440.0,1016.933,1.416,3.497,BOTTLENECK,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_2364944847,99.0,0.567328,CRITICAL,STEP_006_DOCUMENT_INSPECTION,2159.367,1016.933,2.123,6.105,CRITICAL,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_0237888010,99.0,0.565593,BOTTLENECK,STEP_007_PHYSICAL_INSPECTION_COMPLETE,1355.833,1018.504,1.331,3.222,BOTTLENECK,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_6579634373,99.0,0.564626,CRITICAL,STEP_009_DUTY_TAX_INVOICE_ISSUED,945.05,452.238,2.09,5.599,CRITICAL,[]
