case_id,event_count,unique_step_count,has_document_intake,has_declaration,has_inspection,has_hold,has_recheck,has_duty_payment,has_release,has_handover,first_start,last_end,total_duration_min,cycle_time_min,missing_declaration,missing_release,missing_doc_or_decl
ORD_0000312750,16,16,1,1,1,0,0,1,1,1,2025-05-22 02:39:50,2025-05-23 23:11:24,2671.5666666666666,2671.5666666666666,0,0,0
ORD_0005053777,16,16,1,1,1,0,0,1,1,1,2025-05-17 07:04:55,2025-05-18 21:33:45,2308.8333333333335,2308.8333333333335,0,0,0
ORD_0005511584,16,16,1,1,1,0,0,1,1,1,2025-06-13 22:53:40,2025-06-15 22:10:14,2836.5666666666666,2836.5666666666666,0,0,0
ORD_0010926443,16,16,1,1,1,0,0,1,1,1,2025-06-11 16:43:24,2025-06-13 03:58:28,2115.0666666666666,2115.0666666666666,0,0,0
ORD_0015231940,16,16,1,1,1,0,0,1,1,1,2025-06-22 13:37:43,2025-06-24 08:57:37,2599.9,2599.9,0,0,0
ORD_0015850954,16,16,1,1,1,0,0,1,1,1,2025-05-06 17:53:28,2025-05-08 19:34:51,2981.3833333333337,2981.383333333333,0,0,0
ORD_0017772566,16,16,1,1,1,0,0,1,1,1,2025-05-29 18:09:51,2025-05-31 22:29:43,3139.8666666666663,3139.866666666667,0,0,0
ORD_0019124482,16,16,1,1,1,0,0,1,1,1,2025-06-05 21:03:03,2025-06-08 18:44:42,4181.65,4181.65,0,0,0
ORD_0020802216,16,16,1,1,1,0,0,1,1,1,2025-04-01 16:24:58,2025-04-03 17:42:35,2957.616666666667,2957.616666666667,0,0,0
ORD_0023350638,16,16,1,1,1,0,0,1,1,1,2025-06-14 22:51:54,2025-06-16 14:47:13,2395.3166666666666,2395.3166666666666,0,0,0
ORD_0027054089,16,16,1,1,1,0,0,1,1,1,2025-06-23 03:02:17,2025-06-24 17:00:26,2278.15,2278.15,0,0,0
ORD_0031601088,16,16,1,1,1,0,0,1,1,1,2025-05-03 02:36:53,2025-05-05 00:59:45,2782.866666666667,2782.866666666667,0,0,0
ORD_0031939877,16,16,1,1,1,0,0,1,1,1,2025-05-30 20:03:44,2025-06-01 13:59:53,2516.15,2516.15,0,0,0
ORD_0033102991,16,16,1,1,1,0,0,1,1,1,2025-04-26 17:09:12,2025-04-28 12:57:17,2628.0833333333335,2628.0833333333335,0,0,0
ORD_0033309900,16,16,1,1,1,0,0,1,1,1,2025-04-09 21:38:50,2025-04-11 17:21:16,2622.4333333333334,2622.4333333333334,0,0,0
ORD_0033728910,16,16,1,1,1,0,0,1,1,1,2025-05-18 10:51:38,2025-05-19 20:38:07,2026.4833333333333,2026.4833333333333,0,0,0
ORD_0033843843,16,16,1,1,1,0,0,1,1,1,2025-06-11 20:17:44,2025-06-13 22:28:10,3010.4333333333334,3010.4333333333334,0,0,0
