case_id,doc_review_touch_count,declaration_touch_count,recheck_touch_count,duty_payment_touch_count,multiple_doc_reviews_flag,multiple_declarations_flag,multiple_rechecks_flag
ORD_0000312750,4,1,0,2,1,0,0
ORD_0005053777,4,1,0,2,1,0,0
ORD_0005511584,4,1,0,2,1,0,0
ORD_0010926443,4,1,0,2,1,0,0
ORD_0015231940,4,1,0,2,1,0,0
ORD_0015850954,4,1,0,2,1,0,0
ORD_0017772566,4,1,0,2,1,0,0
ORD_0019124482,4,1,0,2,1,0,0
ORD_0020802216,4,1,0,2,1,0,0
ORD_0023350638,4,1,0,2,1,0,0
ORD_0027054089,4,1,0,2,1,0,0
ORD_0031601088,4,1,0,2,1,0,0
ORD_0031939877,4,1,0,2,1,0,0
ORD_0033102991,4,1,0,2,1,0,0
ORD_0033309900,4,1,0,2,1,0,0
ORD_0033728910,4,1,0,2,1,0,0
ORD_0033843843,4,1,0,2,1,0,0
ORD_0035664246,4,1,0,2,1,0,0
ORD_0039272451,4,1,0,2,1,0,0
ORD_0042569135,4,1,0,2,1,0,0
ORD_0043857406,4,1,0,2,1,0,0
ORD_0044545562,4,1,0,2,1,0,0
ORD_0046356598,4,1,0,2,1,0,0
ORD_0047759506,4,1,0,2,1,0,0
ORD_0048229801,4,1,0,2,1,0,0
ORD_0051150364,4,1,0,2,1,0,0
ORD_0052122110,4,1,0,2,1,0,0
ORD_0052551721,4,1,0,2,1,0,0
ORD_0054345018,4,1,0,2,1,0,0
ORD_0055419138,4,1,0,2,1,0,0
ORD_0056138917,4,1,0,2,1,0,0
ORD_0056622231,4,1,0,2,1,0,0
ORD_0062785296,4,1,0,2,1,0,0
ORD_0064833823,4,1,0,2,1,0,0
ORD_0069951956,4,1,0,2,1,0,0
ORD_0071564771,4,1,0,2,1,0,0
ORD_0072637699,4,1,0,2,1,0,0
ORD_0073333661,4,1,0,2,1,0,0
ORD_0080291921,4,1,0,2,1,0,0
ORD_0082062741,4,1,0,2,1,0,0
ORD_0082249542,4,1,0,2,1,0,0
ORD_0084811483,4,1,0,2,1,0,0
ORD_0086138859,4,1,0,2,1,0,0
ORD_0088411040,4,1,0,2,1,0,0
ORD_0088930328,4,1,0,2,1,0,0
ORD_0091539146,4,1,0,2,1,0,0
ORD_0096024379,4,1,0,2,1,0,0
ORD_0101940685,4,1,0,2,1,0,0
ORD_0103228430,4,1,0,2,1,0,0
ORD_0110313391,4,1,0,2,1,0,0
ORD_0115924810,4,1,0,2,1,0,0
ORD_0116401489,4,1,0,2,1,0,0
ORD_0117531863,4,1,0,2,1,0,0
ORD_0118178356,4,1,0,2,1,0,0
ORD_0118616499,4,1,0,2,1,0,0
ORD_0119619523,4,1,0,2,1,0,0
ORD_0121360628,4,1,0,2,1,0,0
ORD_0123726338,4,1,0,2,1,0,0
ORD_0125932577,4,1,0,2,1,0,0
ORD_0126892511,4,1,0,2,1,0,0
ORD_0137086316,4,1,0,2,1,0,0
ORD_0140436228,4,1,0,2,1,0,0
ORD_0141306562,4,1,0,2,1,0,0
ORD_0144996844,4,1,0,2,1,0,0
ORD_0145851815,4,1,0,2,1,0,0
ORD_0148795744,4,1,0,2,1,0,0
ORD_0152563459,4,1,0,2,1,0,0
ORD_0155601860,4,1,0,2,1,0,0
ORD_0156869042,4,1,0,2,1,0,0
ORD_0160859500,4,1,0,2,1,0,0
ORD_0161838731,4,1,0,2,1,0,0
ORD_0164273960,4,1,0,2,1,0,0
ORD_0164639525,4,1,0,2,1,0,0
ORD_0165172365,4,1,0,2,1,0,0
ORD_0173637990,4,1,0,2,1,0,0
ORD_0175707667,4,1,0,2,1,0,0
ORD_0180920486,4,1,0,2,1,0,0
ORD_0181472768,4,1,0,2,1,0,0
ORD_0181909750,4,1,0,2,1,0,0
ORD_0187153356,4,1,0,2,1,0,0
ORD_0188624377,4,1,0,2,1,0,0
ORD_0193330436,4,1,0,2,1,0,0
ORD_0194888251,4,1,0,2,1,0,0
ORD_0195679156,4,1,0,2,1,0,0
ORD_0195982434,4,1,0,2,1,0,0
ORD_0197271512,4,1,0,2,1,0,0
ORD_0201225952,4,1,0,2,1,0,0
ORD_0206667077,4,1,0,2,1,0,0
ORD_0208368523,4,1,0,2,1,0,0
ORD_0210341466,4,1,0,2,1,0,0
ORD_0210926375,4,1,0,2,1,0,0
