case_id,cycle_time_min,doc_review_touch_count,declaration_touch_count,recheck_touch_count,inspection_touch_count,hold_touch_count,decl_to_release_min,inspection_to_release_min,hold_to_release_min,max_gap_to_next_min,document_intake_ratio,declaration_ratio,inspection_ratio,hold_ratio,recheck_ratio,flag_missing_declaration,flag_missing_release,flag_many_rechecks,flag_many_doc_reviews,flag_inspection_heavy,flag_hold_heavy,flag_large_customs_gap,flag_long_clearance_lag,issue_score
ORD_9973000099,6210.116666666667,4,1,0,2,0,6128.566666666667,6084.85,,0.0,0.23778672971790654,0.0024905597586733475,0.5403253293684768,0.0,0.0,0,0,0,1,1,1,1,1,5
ORD_3429959931,5805.666666666667,4,1,0,2,0,5728.916666666667,5693.716666666666,,0.0,0.07134983062525119,0.0038554286042372394,0.5955158752942528,0.0,0.0,0,0,0,1,1,1,1,1,5
ORD_4184062092,5657.083333333333,4,1,0,2,0,5475.633333333333,5434.233333333334,,0.0,0.44326434411136484,0.0029255358326581724,0.5571363335051925,0.0,0.0,0,0,0,1,1,1,1,1,5
ORD_5821176077,5460.016666666666,4,1,0,2,0,5305.25,5266.416666666667,,0.0,0.27366216830839957,0.0014102521054575536,0.5274709173659421,0.0,0.0,0,0,0,1,1,1,1,1,5
ORD_7510137831,5039.383333333333,4,1,0,2,0,4887.25,4815.55,,0.0,0.29445070990828903,0.002801268673746457,0.5594335285732712,0.0,0.0,0,0,0,1,1,1,1,1,5
ORD_4239588266,4846.216666666666,4,1,0,2,0,4733.633333333333,4685.2,,0.0,0.49943082748398226,0.005134589525162239,0.5524378123140732,0.0,0.0,0,0,0,1,1,1,1,1,5
ORD_4864225633,4585.5,4,1,0,2,0,4450.116666666667,4398.316666666667,,0.0,0.24394286337367793,0.0062152437029767745,0.5446407152982227,0.0,0.0,0,0,0,1,1,1,1,1,5
ORD_7288085004,4537.1,4,1,0,2,0,4446.2,4421.733333333334,,0.0,0.20225841763828584,0.0026191473261187393,0.639038886807285,0.0,0.0,0,0,0,1,1,1,1,1,5
ORD_2351631819,4505.666666666667,4,1,0,2,0,4418.933333333333,4375.033333333334,,0.0,0.400728711992306,0.005049197307094769,0.5680402456166309,0.0,0.0,0,0,0,1,1,1,1,1,5
ORD_6491875042,4474.183333333333,4,1,0,2,0,4364.95,4341.55,,0.0,0.33300676846053845,0.003125337584885137,0.5413054896424301,0.0,0.0,0,0,0,1,1,1,1,1,5
ORD_4631133974,4421.783333333334,4,1,0,2,0,4336.916666666667,4292.2,,0.0,0.4004568292581802,0.007014515259680295,0.5270950257626071,0.0,0.0,0,0,0,1,1,1,1,1,5
ORD_7910004399,4353.833333333333,4,1,0,2,0,4252.716666666666,4203.55,,0.0,0.3421735635263944,0.003031811047735712,0.5355242506603377,0.0,0.0,0,0,0,1,1,1,1,1,5
ORD_9813841498,4344.433333333333,4,1,0,2,0,4234.133333333333,4193.966666666666,,0.0,0.2447231322842258,0.006429683963386096,0.5580052634405714,0.0,0.0,0,0,0,1,1,1,1,1,5
ORD_1009518306,4291.333333333333,4,1,0,2,0,4142.233333333334,4129.25,,0.0,0.14325384495883176,0.001802081715084667,0.5901623427062297,0.0,0.0,0,0,0,1,1,1,1,1,5
ORD_9356724678,4174.733333333334,4,1,0,2,0,4094.25,4057.116666666667,,0.0,0.21139074751281517,0.003976301879561169,0.5153063668737323,0.0,0.0,0,0,0,1,1,1,1,1,5
ORD_7367285787,4146.55,4,1,0,2,0,4050.7,3997.8333333333335,,0.0,0.3589248893658583,0.005655303806779129,0.5483916348128766,0.0,0.0,0,0,0,1,1,1,1,1,5
ORD_4023516721,4128.85,4,1,0,2,0,4046.5833333333335,4010.7166666666667,,0.0,0.3572261848537325,0.0030920635689518066,0.589623422179703,0.0,0.0,0,0,0,1,1,1,1,1,5
ORD_2234606209,4184.083333333333,4,1,0,2,0,4042.65,3992.5,,0.0,0.21709255312792528,0.010292975362982733,0.5388994005058855,0.0,0.0,0,0,0,1,1,1,1,1,5
ORD_0218991535,4142.7,4,1,0,2,0,4034.266666666667,4003.633333333333,,0.0,0.3600671059936756,0.005205944593300665,0.5063243778212277,0.0,0.0,0,0,0,1,1,1,1,1,5
ORD_1136314657,4126.366666666667,4,1,0,2,0,4021.516666666667,3965.0833333333335,,0.0,0.36194069035713416,0.009770500278695544,0.5510659094764563,0.0,0.0,0,0,0,1,1,1,1,1,5
ORD_4328863772,4081.366666666667,4,1,0,2,0,3988.2,3929.3166666666666,,0.0,0.17541509788387877,0.005218840094412819,0.5051290009065591,0.0,0.0,0,0,0,1,1,1,1,1,5
ORD_0386436539,4086.4,4,1,0,2,0,3978.7,3923.2833333333333,,0.0,0.19573055338031844,0.005705918820151396,0.5287131297311407,0.0,0.0,0,0,0,1,1,1,1,1,5
ORD_0750669101,4068.9666666666667,4,1,0,2,0,3970.15,3922.25,,0.0,0.19950192104465506,0.005279800768417863,0.5390312036635019,0.0,0.0,0,0,0,1,1,1,1,1,5
ORD_1314062816,4055.45,4,1,0,2,0,3965.0333333333333,3880.5666666666666,,0.0,0.3199521631384927,0.002716509059824845,0.6038992795702901,0.0,0.0,0,0,0,1,1,1,1,1,5
ORD_0212471817,4030.483333333333,4,1,0,2,0,3895.233333333333,3837.7166666666667,,0.0,0.36706515761137004,0.0026092817652142632,0.5095584069735226,0.0,0.0,0,0,0,1,1,1,1,1,5
ORD_9491154127,3993.7,4,1,0,2,0,3887.4333333333334,3850.05,,0.0,0.3007361594511355,0.005270801512382002,0.5101618382285433,0.0,0.0,0,0,0,1,1,1,1,1,5
ORD_8432983830,3987.133333333333,4,1,0,2,0,3869.65,3833.9333333333334,,0.0,0.3711313057000017,0.0029511595632618257,0.640949219990971,0.0,0.0,0,0,0,1,1,1,1,1,5
ORD_1354613860,3953.0833333333335,4,1,0,2,0,3840.9666666666667,3804.35,,0.0,0.16284756624575755,0.004456436958492316,0.5148048991293716,0.0,0.0,0,0,0,1,1,1,1,1,5
ORD_6003586467,5605.233333333334,4,1,0,2,0,5532.883333333333,5486.816666666667,,0.0,0.10851763530510178,0.005013172214061859,0.3570116022526567,0.0,0.0,0,0,0,1,0,1,1,1,4
ORD_6588539542,5454.966666666666,4,1,0,2,0,5342.2,5290.45,,0.0,0.24102499862510618,0.004754077324028867,0.4769231709329113,0.0,0.0,0,0,0,1,0,1,1,1,4
ORD_3534250077,5419.516666666666,4,1,0,2,0,5297.883333333333,5215.333333333333,,0.0,0.10849983547118286,0.013150004151661742,0.353952228212233,0.0,0.0,0,0,0,1,0,1,1,1,4
ORD_6136765460,5112.7,4,1,0,2,0,4987.516666666666,4951.4,,0.0,0.055694642752361766,0.0019787326983133507,0.32797412978139406,0.0,0.0,0,0,0,1,0,1,1,1,4
ORD_1566160407,5045.95,4,1,0,2,0,4893.533333333334,4855.85,,0.0,0.10910069791945355,0.0027778053026024175,0.25443837797309393,0.0,0.0,0,0,0,1,0,1,1,1,4
ORD_3424964033,4956.883333333333,4,1,0,2,0,4887.35,4814.833333333333,,0.0,0.3019605733441376,0.005608362781721042,0.4143127570079317,0.0,0.0,0,0,0,1,0,1,1,1,4
ORD_2639386264,4964.55,4,1,0,2,0,4870.016666666666,4846.0,,0.0,0.15681515276644745,0.002282852087970377,0.4349202512480151,0.0,0.0,0,0,0,1,0,1,1,1,4
ORD_4024479908,4961.9,4,1,0,2,0,4845.633333333333,4733.816666666667,,0.0,0.06029612312487825,0.015370456209650874,0.13051452064733268,0.0,0.0,0,0,0,1,0,1,1,1,4
ORD_2112906291,4924.916666666667,4,1,0,2,0,4834.683333333333,4783.5,,0.0,0.30357197245300255,0.004260647388280681,0.408572057056803,0.0,0.0,0,0,0,1,0,1,1,1,4
ORD_3722280112,4930.25,4,1,0,2,0,4816.483333333334,4728.766666666666,,0.0,0.3095414363707047,0.010763483934215641,0.3962070888900157,0.0,0.0,0,0,0,1,0,1,1,1,4
ORD_0125932577,4885.7,4,1,0,2,0,4751.8,4685.916666666667,,0.0,0.16960722107374582,0.0051579098184497615,0.33936454005226135,0.0,0.0,0,0,0,1,0,1,1,1,4
ORD_2364944847,4794.866666666667,4,1,0,2,0,4693.783333333334,4642.733333333334,,0.0,0.46929702598612405,0.009086105974444893,0.4847197697537645,0.0,0.0,0,0,0,1,0,1,1,1,4
ORD_7566950089,4850.0,4,1,0,2,0,4679.5,4645.15,,0.0,0.1370446735395189,0.0033127147766323023,0.4220034364261168,0.0,0.0,0,0,0,1,0,1,1,1,4
ORD_1378853394,4793.0,4,1,0,2,0,4661.333333333333,4636.65,,0.0,0.23185896098476944,0.002406286946241046,0.2788719660616176,0.0,0.0,0,0,0,1,0,1,1,1,4
ORD_1033487982,4766.983333333334,4,1,0,2,0,4645.85,4596.4,,0.0,0.15041658071666567,0.005489145825976596,0.25528024362017904,0.0,0.0,0,0,0,1,0,1,1,1,4
ORD_9730026919,4763.366666666667,4,1,0,2,0,4637.366666666667,4592.05,,0.0,0.29443110964933766,0.004328171251425812,0.36239774389262497,0.0,0.0,0,0,0,1,0,1,1,1,4
ORD_7358696977,4755.966666666666,4,1,0,2,0,4625.733333333334,4559.933333333333,,0.0,0.3069267376418394,0.00680198207164334,0.3645841364181134,0.0,0.0,0,0,0,1,0,1,1,1,4
ORD_1231040481,4760.416666666667,4,1,0,2,0,4620.1,4526.066666666667,,0.0,0.09124551422319474,0.015128227571115973,0.2924218818380744,0.0,0.0,0,0,0,1,0,1,1,1,4
ORD_1418397243,4726.716666666666,4,1,0,2,0,4612.116666666667,4575.15,,0.0,0.31681963872032387,0.005937877949104911,0.40765788796310337,0.0,0.0,0,0,0,1,0,1,1,1,4
ORD_3149017220,4701.35,4,1,0,2,0,4607.05,4573.4,,0.0,0.26572863822802667,0.004888666730478125,0.32544552805754373,0.0,0.0,0,0,0,1,0,1,1,1,4
ORD_8755510702,4690.766666666666,4,1,0,2,0,4585.083333333333,4552.283333333334,,0.0,0.2082886237502043,0.0034713586265216066,0.3181960304996341,0.0,0.0,0,0,0,1,0,1,1,1,4
