case_id,event_count,unique_step_count,cycle_time_min,has_declaration,has_release,has_handover,has_inspection,has_hold,has_recheck,missing_declaration_flag,missing_release_flag,missing_handover_flag,direct_release_flag,exam_branch_flag,amendment_branch_flag,path_complexity_index
ORD_0000312750,16,16,2671.5666666666666,1,1,1,1,0,0,0,0,0,0,1,0,4
ORD_0005053777,16,16,2308.8333333333335,1,1,1,1,0,0,0,0,0,0,1,0,4
ORD_0005511584,16,16,2836.5666666666666,1,1,1,1,0,0,0,0,0,0,1,0,4
ORD_0010926443,16,16,2115.0666666666666,1,1,1,1,0,0,0,0,0,0,1,0,4
ORD_0015231940,16,16,2599.9,1,1,1,1,0,0,0,0,0,0,1,0,4
ORD_0015850954,16,16,2981.383333333333,1,1,1,1,0,0,0,0,0,0,1,0,4
ORD_0017772566,16,16,3139.866666666667,1,1,1,1,0,0,0,0,0,0,1,0,4
ORD_0019124482,16,16,4181.65,1,1,1,1,0,0,0,0,0,0,1,0,4
ORD_0020802216,16,16,2957.616666666667,1,1,1,1,0,0,0,0,0,0,1,0,4
ORD_0023350638,16,16,2395.3166666666666,1,1,1,1,0,0,0,0,0,0,1,0,4
ORD_0027054089,16,16,2278.15,1,1,1,1,0,0,0,0,0,0,1,0,4
ORD_0031601088,16,16,2782.866666666667,1,1,1,1,0,0,0,0,0,0,1,0,4
ORD_0031939877,16,16,2516.15,1,1,1,1,0,0,0,0,0,0,1,0,4
ORD_0033102991,16,16,2628.0833333333335,1,1,1,1,0,0,0,0,0,0,1,0,4
ORD_0033309900,16,16,2622.4333333333334,1,1,1,1,0,0,0,0,0,0,1,0,4
ORD_0033728910,16,16,2026.4833333333333,1,1,1,1,0,0,0,0,0,0,1,0,4
ORD_0033843843,16,16,3010.4333333333334,1,1,1,1,0,0,0,0,0,0,1,0,4
ORD_0035664246,16,16,2258.116666666667,1,1,1,1,0,0,0,0,0,0,1,0,4
ORD_0039272451,16,16,3915.9666666666667,1,1,1,1,0,0,0,0,0,0,1,0,4
ORD_0042569135,16,16,3377.6,1,1,1,1,0,0,0,0,0,0,1,0,4
ORD_0043857406,16,16,2780.6833333333334,1,1,1,1,0,0,0,0,0,0,1,0,4
ORD_0044545562,16,16,3793.65,1,1,1,1,0,0,0,0,0,0,1,0,4
ORD_0046356598,16,16,2103.65,1,1,1,1,0,0,0,0,0,0,1,0,4
ORD_0047759506,16,16,2587.616666666667,1,1,1,1,0,0,0,0,0,0,1,0,4
ORD_0048229801,16,16,2947.6,1,1,1,1,0,0,0,0,0,0,1,0,4
ORD_0051150364,16,16,3316.35,1,1,1,1,0,0,0,0,0,0,1,0,4
ORD_0052122110,16,16,3821.633333333333,1,1,1,1,0,0,0,0,0,0,1,0,4
ORD_0052551721,16,16,2515.0666666666666,1,1,1,1,0,0,0,0,0,0,1,0,4
ORD_0054345018,16,16,2850.15,1,1,1,1,0,0,0,0,0,0,1,0,4
ORD_0055419138,16,16,2858.2166666666667,1,1,1,1,0,0,0,0,0,0,1,0,4
ORD_0056138917,16,16,2180.15,1,1,1,1,0,0,0,0,0,0,1,0,4
ORD_0056622231,16,16,3721.9333333333334,1,1,1,1,0,0,0,0,0,0,1,0,4
ORD_0062785296,16,16,3332.5666666666666,1,1,1,1,0,0,0,0,0,0,1,0,4
ORD_0064833823,16,16,2288.8,1,1,1,1,0,0,0,0,0,0,1,0,4
ORD_0069951956,16,16,3832.5666666666666,1,1,1,1,0,0,0,0,0,0,1,0,4
ORD_0071564771,16,16,2698.5333333333333,1,1,1,1,0,0,0,0,0,0,1,0,4
ORD_0072637699,16,16,4081.983333333333,1,1,1,1,0,0,0,0,0,0,1,0,4
ORD_0073333661,16,16,3070.6,1,1,1,1,0,0,0,0,0,0,1,0,4
ORD_0080291921,16,16,2068.3166666666666,1,1,1,1,0,0,0,0,0,0,1,0,4
ORD_0082062741,16,16,2269.4,1,1,1,1,0,0,0,0,0,0,1,0,4
ORD_0082249542,16,16,3217.5333333333333,1,1,1,1,0,0,0,0,0,0,1,0,4
ORD_0084811483,16,16,1928.75,1,1,1,1,0,0,0,0,0,0,1,0,4
ORD_0086138859,16,16,2476.4666666666667,1,1,1,1,0,0,0,0,0,0,1,0,4
ORD_0088411040,16,16,2225.7833333333333,1,1,1,1,0,0,0,0,0,0,1,0,4
ORD_0088930328,16,16,2142.766666666667,1,1,1,1,0,0,0,0,0,0,1,0,4
ORD_0091539146,16,16,2541.85,1,1,1,1,0,0,0,0,0,0,1,0,4
ORD_0096024379,16,16,2193.616666666667,1,1,1,1,0,0,0,0,0,0,1,0,4
ORD_0101940685,16,16,3077.7166666666667,1,1,1,1,0,0,0,0,0,0,1,0,4
ORD_0103228430,16,16,3117.5833333333335,1,1,1,1,0,0,0,0,0,0,1,0,4
ORD_0110313391,16,16,2411.8166666666666,1,1,1,1,0,0,0,0,0,0,1,0,4
ORD_0115924810,16,16,2989.7833333333333,1,1,1,1,0,0,0,0,0,0,1,0,4
ORD_0116401489,16,16,2950.983333333333,1,1,1,1,0,0,0,0,0,0,1,0,4
ORD_0117531863,16,16,3368.233333333333,1,1,1,1,0,0,0,0,0,0,1,0,4
ORD_0118178356,16,16,2121.766666666667,1,1,1,1,0,0,0,0,0,0,1,0,4
ORD_0118616499,16,16,3528.85,1,1,1,1,0,0,0,0,0,0,1,0,4
ORD_0119619523,16,16,2521.1666666666665,1,1,1,1,0,0,0,0,0,0,1,0,4
ORD_0121360628,16,16,1839.55,1,1,1,1,0,0,0,0,0,0,1,0,4
ORD_0123726338,16,16,3338.866666666667,1,1,1,1,0,0,0,0,0,0,1,0,4
ORD_0125932577,16,16,4885.7,1,1,1,1,0,0,0,0,0,0,1,0,4
ORD_0126892511,16,16,4136.3,1,1,1,1,0,0,0,0,0,0,1,0,4
ORD_0137086316,16,16,2258.6,1,1,1,1,0,0,0,0,0,0,1,0,4
ORD_0140436228,16,16,2942.5833333333335,1,1,1,1,0,0,0,0,0,0,1,0,4
ORD_0141306562,16,16,2433.0833333333335,1,1,1,1,0,0,0,0,0,0,1,0,4
ORD_0144996844,16,16,2566.6666666666665,1,1,1,1,0,0,0,0,0,0,1,0,4
ORD_0145851815,16,16,2263.2,1,1,1,1,0,0,0,0,0,0,1,0,4
ORD_0148795744,16,16,3121.2833333333333,1,1,1,1,0,0,0,0,0,0,1,0,4
ORD_0152563459,16,16,3349.45,1,1,1,1,0,0,0,0,0,0,1,0,4
ORD_0155601860,16,16,3073.7,1,1,1,1,0,0,0,0,0,0,1,0,4
ORD_0156869042,16,16,3114.7833333333333,1,1,1,1,0,0,0,0,0,0,1,0,4
ORD_0160859500,16,16,2963.65,1,1,1,1,0,0,0,0,0,0,1,0,4
ORD_0161838731,16,16,3475.983333333333,1,1,1,1,0,0,0,0,0,0,1,0,4
ORD_0164273960,16,16,3048.05,1,1,1,1,0,0,0,0,0,0,1,0,4
ORD_0164639525,16,16,3475.0833333333335,1,1,1,1,0,0,0,0,0,0,1,0,4
ORD_0165172365,16,16,2759.4333333333334,1,1,1,1,0,0,0,0,0,0,1,0,4
ORD_0173637990,16,16,2766.2833333333333,1,1,1,1,0,0,0,0,0,0,1,0,4
ORD_0175707667,16,16,2492.5666666666666,1,1,1,1,0,0,0,0,0,0,1,0,4
ORD_0180920486,16,16,2397.5333333333333,1,1,1,1,0,0,0,0,0,0,1,0,4
ORD_0181472768,16,16,1845.7333333333333,1,1,1,1,0,0,0,0,0,0,1,0,4
ORD_0181909750,16,16,3569.25,1,1,1,1,0,0,0,0,0,0,1,0,4
ORD_0187153356,16,16,2297.0666666666666,1,1,1,1,0,0,0,0,0,0,1,0,4
ORD_0188624377,16,16,2663.7166666666667,1,1,1,1,0,0,0,0,0,0,1,0,4
ORD_0193330436,16,16,2868.266666666667,1,1,1,1,0,0,0,0,0,0,1,0,4
