case_id,event_count,unique_step_count,cycle_time_min,has_declaration,has_release,has_handover,has_inspection,has_hold,has_recheck,missing_declaration_flag,missing_release_flag,missing_handover_flag,direct_release_flag,exam_branch_flag,amendment_branch_flag,path_complexity_index,cycle_time_min_loop,document_intake_touch_count,declaration_touch_count,recheck_touch_count,document_intake_ratio,declaration_ratio,recheck_ratio,doc_to_decl_min,decl_to_release_min,multiple_doc_reviews_flag,multiple_declarations_flag,multiple_rechecks_flag,amendment_loop_depth,amendment_loop_index,cycle_time_min_exam,total_process_time_min,inspection_touch_count,hold_touch_count,inspection_ratio,hold_ratio,inspection_to_release_min,hold_to_release_min,max_gap_to_next_min,inspection_heavy_flag,hold_heavy_flag,large_customs_gap_flag,exam_escalation_index,cycle_time_min_gate,decl_to_release_min_gate,duty_to_release_min,release_to_handover_min,release_ratio,long_clearance_lag_flag,missing_release_flag_gate,missing_handover_flag_gate,release_gate_index,distance_bucket,service_level,is_cross_border
ORD_0000312750,16,16,2671.5666666666666,1,1,1,1,0,0,0,0,0,0,1,0,4,2671.5666666666666,4,1,0,0.3122325227394662,0.003867892747077246,0.0,58.483333333333334,2555.4166666666665,1,0,0,0,1.0,2671.5666666666666,2671.5666666666666,2,0,0.3585474191173718,0.0,2534.883333333333,0.0,0.0,0,1,1,0.3585474191173718,2671.5666666666666,2555.4166666666665,1298.45,834.5,0.30867031829014185,0,0,0,0.956523637815514,1,1,1
ORD_0005053777,16,16,2308.8333333333335,1,1,1,1,0,0,0,0,0,0,1,0,4,2308.8333333333335,4,1,0,0.16673644697899373,0.02541687721071248,0.0,57.8,2224.5,1,0,0,0,1.0,2308.8333333333335,2308.8333333333335,2,0,0.22555403161770013,0.0,2153.4333333333334,0.0,0.0,0,1,1,0.22555403161770013,2308.8333333333335,2224.5,1349.9666666666667,812.1166666666667,0.3498953295315094,0,0,0,0.9634736158232873,1,1,1
ORD_0005511584,16,16,2836.5666666666666,1,1,1,1,0,0,0,0,0,0,1,0,4,2836.5666666666666,4,1,0,0.23755831580431744,0.00595790685923123,0.0,67.03333333333333,2690.3166666666666,1,0,0,0,1.0,2836.5666666666666,2836.5666666666666,2,0,0.3050342550266167,0.0,2629.866666666667,0.0,0.0,0,1,1,0.3050342550266167,2836.5666666666666,2690.3166666666666,1410.1166666666666,1168.0833333333333,0.4086806820451955,0,0,0,0.9484411906412682,1,1,1
ORD_0010926443,16,16,2115.0666666666666,1,1,1,1,0,0,0,0,0,0,1,0,4,2115.0666666666666,4,1,0,0.19365031835087942,0.01916409254239425,0.0,82.86666666666666,1986.9,1,0,0,0,1.0,2115.0666666666666,2115.0666666666666,2,0,0.33677425455462395,0.0,1926.55,0.0,0.0,0,1,1,0.33677425455462395,2115.0666666666666,1986.9,1019.9166666666666,861.4166666666666,0.3998849524049675,0,0,0,0.9394030133013932,2,2,1
ORD_0015231940,16,16,2599.9,1,1,1,1,0,0,0,0,0,0,1,0,4,2599.9,4,1,0,0.15713424875315718,0.0057758631742246495,0.0,87.8,2458.7166666666667,1,0,0,0,1.0,2599.9,2599.9,2,0,0.307806710514507,0.0,2431.9,0.0,0.0,0,1,1,0.307806710514507,2599.9,2458.7166666666667,1354.0333333333333,935.7,0.35775093913868483,0,0,0,0.9456966293575394,1,1,1
ORD_0015850954,16,16,2981.383333333333,1,1,1,1,0,0,0,0,0,0,1,0,4,2981.383333333333,4,1,0,0.17728347579143905,0.004086469927270898,0.0,61.81666666666667,2833.2,1,0,0,0,1.0,2981.383333333333,2981.3833333333337,2,0,0.26358010543204213,0.0,2806.883333333333,0.0,0.0,0,1,1,0.26358010543204213,2981.383333333333,2833.2,1759.7,949.9833333333333,0.30964932385972954,0,0,0,0.9502971215822632,2,0,1
ORD_0017772566,16,16,3139.866666666667,1,1,1,1,0,0,0,0,0,0,1,0,4,3139.866666666667,4,1,0,0.27606267782071425,0.003498025393859612,0.0,62.35,3014.5,1,0,0,0,1.0,3139.866666666667,3139.8666666666663,2,0,0.44292751284555604,0.0,2969.05,0.0,0.0,0,1,1,0.44292751284555604,3139.866666666667,3014.5,1068.0,756.8,0.23778079748609282,0,0,0,0.9600726145483884,2,1,1
ORD_0019124482,16,16,4181.65,1,1,1,1,0,0,0,0,0,0,1,0,4,4181.65,4,1,0,0.36489184891131493,0.011004428076636416,0.0,72.41666666666667,4058.6833333333334,1,0,0,0,1.0,4181.65,4181.65,2,0,0.4803885228717532,0.0,3982.0333333333333,0.0,0.0,0,1,1,0.4803885228717532,4181.65,4058.6833333333334,1115.0833333333333,790.95,0.18738217370336274,1,0,0,0.9705937448933636,3,1,1
ORD_0020802216,16,16,2957.616666666667,1,1,1,1,0,0,0,0,0,0,1,0,4,2957.616666666667,4,1,0,0.09250691716866621,0.01249316735885313,0.0,65.5,2849.866666666667,1,0,0,0,1.0,2957.616666666667,2957.616666666667,2,0,0.19200707777095297,0.0,2794.233333333333,0.0,0.0,0,1,1,0.19200707777095297,2957.616666666667,2849.866666666667,1623.4,1294.8,0.43669734076424144,0,0,0,0.9635686391632903,3,0,1
ORD_0023350638,16,16,2395.3166666666666,1,1,1,1,0,0,0,0,0,0,1,0,4,2395.3166666666666,4,1,0,0.07065175794432191,0.003743415971444277,0.0,28.616666666666667,2335.0833333333335,1,0,0,0,1.0,2395.3166666666666,2395.3166666666666,2,0,0.1864332482135278,0.0,2308.016666666667,0.0,0.0,0,1,1,0.1864332482135278,2395.3166666666666,2335.0833333333335,1533.35,1076.9333333333334,0.44676765076294717,0,0,0,0.974853707582157,1,1,1
