n_estimators,contamination,max_samples,max_features,random_state,anomaly_rate,score_mean,score_std,score_p95,score_p99,top_case_release_gate_alignment,top_case_amendment_loop_alignment,top_case_exam_escalation_alignment,top_case_case_file_path_alignment
150,0.03,auto,1.0,42,0.030098,0.447184,0.062733,0.588568,0.658525,0.817757,1.0,1.0,1.0
150,0.03,auto,1.0,99,0.030098,0.44998,0.061448,0.592108,0.65676,0.817757,1.0,1.0,1.0
150,0.03,auto,1.0,123,0.030098,0.449084,0.062802,0.59101,0.664946,0.808411,1.0,1.0,1.0
150,0.03,auto,0.8,42,0.030098,0.449649,0.061906,0.596116,0.667111,0.831776,1.0,1.0,1.0
150,0.03,auto,0.8,99,0.030098,0.448042,0.062759,0.595647,0.66212,0.831776,1.0,1.0,1.0
150,0.03,auto,0.8,123,0.030098,0.445471,0.063391,0.583064,0.660058,0.747664,1.0,1.0,1.0
150,0.03,0.8,1.0,42,0.030098,0.423842,0.051281,0.533902,0.603039,0.663551,1.0,1.0,1.0
150,0.03,0.8,1.0,99,0.030098,0.422448,0.051286,0.532555,0.602104,0.686916,1.0,1.0,1.0
150,0.03,0.8,1.0,123,0.030098,0.427012,0.051117,0.537218,0.607127,0.672897,1.0,1.0,1.0
150,0.03,0.8,0.8,42,0.030098,0.426639,0.050174,0.533093,0.601501,0.649533,1.0,1.0,1.0
150,0.03,0.8,0.8,99,0.030098,0.427971,0.049694,0.532984,0.608699,0.672897,1.0,1.0,1.0
150,0.03,0.8,0.8,123,0.030098,0.423795,0.04874,0.527734,0.599528,0.649533,1.0,1.0,1.0
150,0.05,auto,1.0,42,0.050163,0.447184,0.062733,0.588568,0.658525,0.817757,1.0,1.0,1.0
150,0.05,auto,1.0,99,0.050163,0.44998,0.061448,0.592108,0.65676,0.817757,1.0,1.0,1.0
150,0.05,auto,1.0,123,0.050163,0.449084,0.062802,0.59101,0.664946,0.808411,1.0,1.0,1.0
150,0.05,auto,0.8,42,0.050163,0.449649,0.061906,0.596116,0.667111,0.831776,1.0,1.0,1.0
