n_estimators,contamination,max_samples,max_features,avg_anomaly_rate,avg_score_mean,avg_score_std,avg_score_p95,avg_score_p99,tail_gap,stability_jaccard_top5pct,avg_top_case_release_gate_alignment,avg_top_case_amendment_loop_alignment,avg_top_case_exam_escalation_alignment,avg_top_case_case_file_path_alignment
150,0.03,auto,1.0,0.030098,0.448749,0.062328,0.590562,0.660077,0.069515,0.834428,0.814642,1.0,1.0,1.0
150,0.03,auto,0.8,0.030098,0.44772,0.062685,0.591609,0.663096,0.071487,0.822102,0.803738,1.0,1.0,1.0
150,0.03,0.8,1.0,0.030098,0.424434,0.051228,0.534558,0.60409,0.069532,0.855592,0.674455,1.0,1.0,1.0
150,0.03,0.8,0.8,0.030098,0.426135,0.049536,0.53127,0.603243,0.071972,0.858184,0.657321,1.0,1.0,1.0
150,0.05,auto,1.0,0.050163,0.448749,0.062328,0.590562,0.660077,0.069515,0.834428,0.814642,1.0,1.0,1.0
150,0.05,auto,0.8,0.050163,0.44772,0.062685,0.591609,0.663096,0.071487,0.822102,0.803738,1.0,1.0,1.0
150,0.05,0.8,1.0,0.050163,0.424434,0.051228,0.534558,0.60409,0.069532,0.855592,0.674455,1.0,1.0,1.0
150,0.05,0.8,0.8,0.050163,0.426135,0.049536,0.53127,0.603243,0.071972,0.858184,0.657321,1.0,1.0,1.0
150,0.07,auto,1.0,0.069995,0.448749,0.062328,0.590562,0.660077,0.069515,0.834428,0.814642,1.0,1.0,1.0
150,0.07,auto,0.8,0.069995,0.44772,0.062685,0.591609,0.663096,0.071487,0.822102,0.803738,1.0,1.0,1.0
150,0.07,0.8,1.0,0.069995,0.424434,0.051228,0.534558,0.60409,0.069532,0.855592,0.674455,1.0,1.0,1.0
150,0.07,0.8,0.8,0.069995,0.426135,0.049536,0.53127,0.603243,0.071972,0.858184,0.657321,1.0,1.0,1.0
150,0.1,auto,1.0,0.100093,0.448749,0.062328,0.590562,0.660077,0.069515,0.834428,0.814642,1.0,1.0,1.0
150,0.1,auto,0.8,0.100093,0.44772,0.062685,0.591609,0.663096,0.071487,0.822102,0.803738,1.0,1.0,1.0
150,0.1,0.8,1.0,0.100093,0.424434,0.051228,0.534558,0.60409,0.069532,0.855592,0.674455,1.0,1.0,1.0
150,0.1,0.8,0.8,0.100093,0.426135,0.049536,0.53127,0.603243,0.071972,0.858184,0.657321,1.0,1.0,1.0
250,0.03,auto,1.0,0.030098,0.449014,0.062986,0.593205,0.663325,0.07012,0.863816,0.819315,1.0,1.0,1.0
250,0.03,auto,0.8,0.030098,0.44872,0.062138,0.590057,0.66136,0.071304,0.850842,0.797508,1.0,1.0,1.0
250,0.03,0.8,1.0,0.030098,0.424725,0.051012,0.53501,0.604793,0.069783,0.877217,0.663551,1.0,1.0,1.0
250,0.03,0.8,0.8,0.030098,0.425469,0.04936,0.531278,0.601671,0.070393,0.863862,0.649533,1.0,1.0,1.0
250,0.05,auto,1.0,0.050163,0.449014,0.062986,0.593205,0.663325,0.07012,0.863816,0.819315,1.0,1.0,1.0
250,0.05,auto,0.8,0.050163,0.44872,0.062138,0.590057,0.66136,0.071304,0.850842,0.797508,1.0,1.0,1.0
250,0.05,0.8,1.0,0.050163,0.424725,0.051012,0.53501,0.604793,0.069783,0.877217,0.663551,1.0,1.0,1.0
250,0.05,0.8,0.8,0.050163,0.425469,0.04936,0.531278,0.601671,0.070393,0.863862,0.649533,1.0,1.0,1.0
250,0.07,auto,1.0,0.069995,0.449014,0.062986,0.593205,0.663325,0.07012,0.863816,0.819315,1.0,1.0,1.0
250,0.07,auto,0.8,0.069995,0.44872,0.062138,0.590057,0.66136,0.071304,0.850842,0.797508,1.0,1.0,1.0
250,0.07,0.8,1.0,0.069995,0.424725,0.051012,0.53501,0.604793,0.069783,0.877217,0.663551,1.0,1.0,1.0
250,0.07,0.8,0.8,0.069995,0.425469,0.04936,0.531278,0.601671,0.070393,0.863862,0.649533,1.0,1.0,1.0
250,0.1,auto,1.0,0.100093,0.449014,0.062986,0.593205,0.663325,0.07012,0.863816,0.819315,1.0,1.0,1.0
250,0.1,auto,0.8,0.100093,0.44872,0.062138,0.590057,0.66136,0.071304,0.850842,0.797508,1.0,1.0,1.0
250,0.1,0.8,1.0,0.100093,0.424725,0.051012,0.53501,0.604793,0.069783,0.877217,0.663551,1.0,1.0,1.0
250,0.1,0.8,0.8,0.100093,0.425469,0.04936,0.531278,0.601671,0.070393,0.863862,0.649533,1.0,1.0,1.0
350,0.03,auto,1.0,0.030098,0.449156,0.062472,0.592464,0.662365,0.0699,0.89671,0.825545,1.0,1.0,1.0
350,0.03,auto,0.8,0.030098,0.449921,0.062012,0.592859,0.661889,0.069029,0.891414,0.791277,1.0,1.0,1.0
350,0.03,0.8,1.0,0.030098,0.424724,0.050849,0.534823,0.604108,0.069285,0.905078,0.666667,1.0,1.0,1.0
