case_id,event_count,unique_step_count,has_assignment,has_pickup,has_load,has_linehaul,has_hub_depot,has_last_mile,has_delivered,has_return_flow,first_start,last_end,total_duration_min,cycle_time_min,missing_core_pickup_or_load,missing_linehaul,missing_delivery_end
ORD_0000312750,29,29,True,True,True,True,True,True,True,True,2025-05-23 23:49:38,2025-05-24 10:30:04,640.4333333333333,640.4333333333333,0,0,0
ORD_0000434015,29,29,True,True,True,True,True,True,True,True,2025-06-23 08:02:02,2025-06-23 20:39:52,757.8333333333333,757.8333333333334,0,0,0
ORD_0003576909,29,29,True,True,True,True,True,True,True,True,2025-05-14 18:30:39,2025-05-15 08:58:08,867.4833333333333,867.4833333333333,0,0,0
ORD_0003662246,29,29,True,True,True,True,True,True,True,True,2025-04-02 23:08:45,2025-04-03 11:24:28,735.7166666666667,735.7166666666667,0,0,0
ORD_0004464291,29,29,True,True,True,True,True,True,True,True,2025-04-22 08:47:48,2025-04-23 12:33:55,1666.1166666666666,1666.1166666666666,0,0,0
ORD_0005053777,29,29,True,True,True,True,True,True,True,True,2025-05-18 22:31:12,2025-05-19 14:00:02,928.8333333333333,928.8333333333334,0,0,0
ORD_0005511584,29,29,True,True,True,True,True,True,True,True,2025-06-15 22:49:34,2025-06-16 11:27:14,757.6666666666666,757.6666666666666,0,0,0
ORD_0006530047,29,29,True,True,True,True,True,True,True,True,2025-05-19 08:44:31,2025-05-19 20:36:33,712.0333333333333,712.0333333333333,0,0,0
ORD_0010627475,29,29,True,True,True,True,True,True,True,True,2025-06-09 23:25:01,2025-06-10 08:41:03,556.0333333333333,556.0333333333333,0,0,0
ORD_0010926443,29,29,True,True,True,True,True,True,True,True,2025-06-13 04:23:31,2025-06-13 14:54:25,630.9,630.9,0,0,0
ORD_0011350592,29,29,True,True,True,True,True,True,True,True,2025-06-28 04:51:57,2025-06-28 15:50:41,658.7333333333333,658.7333333333333,0,0,0
ORD_0012953663,29,29,True,True,True,True,True,True,True,True,2025-05-05 08:36:30,2025-05-05 21:07:22,750.8666666666667,750.8666666666667,0,0,0
ORD_0013133868,29,29,True,True,True,True,True,True,True,True,2025-05-23 22:14:44,2025-05-24 10:52:02,757.3,757.3,0,0,0
ORD_0014148851,29,29,True,True,True,True,True,True,True,True,2025-04-29 08:30:53,2025-04-29 23:15:26,884.55,884.55,0,0,0
ORD_0014275379,29,29,True,True,True,True,True,True,True,True,2025-06-17 06:03:57,2025-06-17 19:25:20,801.3833333333333,801.3833333333333,0,0,0
ORD_0015231940,29,29,True,True,True,True,True,True,True,True,2025-06-24 10:04:22,2025-06-24 21:34:07,689.75,689.75,0,0,0
ORD_0015275263,29,29,True,True,True,True,True,True,True,True,2025-06-20 19:36:26,2025-06-21 06:07:56,631.5,631.5,0,0,0
ORD_0015850954,29,29,True,True,True,True,True,True,True,True,2025-05-08 21:02:47,2025-05-09 15:22:37,1099.8333333333333,1099.8333333333333,0,0,0
ORD_0016987134,29,29,True,True,True,True,True,True,True,True,2025-04-10 08:22:02,2025-04-10 20:44:38,742.6,742.6,0,0,0
ORD_0017772566,29,29,True,True,True,True,True,True,True,True,2025-05-31 23:02:43,2025-06-01 14:18:35,915.8666666666667,915.8666666666667,0,0,0
ORD_0018881361,29,29,True,True,True,True,True,True,True,True,2025-05-16 09:54:34,2025-05-16 21:12:34,678.0,678.0,0,0,0
ORD_0019124482,29,29,True,True,True,True,True,True,True,True,2025-06-08 19:31:48,2025-06-09 17:56:06,1344.3,1344.3,0,0,0
ORD_0020802216,29,29,True,True,True,True,True,True,True,True,2025-04-03 18:52:27,2025-04-04 07:30:03,757.6,757.6,0,0,0
ORD_0022070780,29,29,True,True,True,True,True,True,True,True,2025-05-30 20:01:26,2025-05-31 05:32:24,570.9666666666667,570.9666666666667,0,0,0
ORD_0022961984,29,29,True,True,True,True,True,True,True,True,2025-05-31 02:14:10,2025-06-01 01:08:32,1374.3666666666666,1374.3666666666666,0,0,0
ORD_0023300112,29,29,True,True,True,True,True,True,True,True,2025-05-10 06:26:06,2025-05-10 16:40:11,614.0833333333334,614.0833333333334,0,0,0
ORD_0023350638,29,29,True,True,True,True,True,True,True,True,2025-06-16 15:10:11,2025-06-17 04:50:04,819.8833333333333,819.8833333333333,0,0,0
ORD_0024079966,29,29,True,True,True,True,True,True,True,True,2025-05-30 22:48:57,2025-05-31 15:25:16,996.3166666666666,996.3166666666667,0,0,0
ORD_0025145155,29,29,True,True,True,True,True,True,True,True,2025-06-17 17:35:52,2025-06-18 12:46:02,1150.1666666666667,1150.1666666666667,0,0,0
ORD_0026934629,29,29,True,True,True,True,True,True,True,True,2025-04-07 00:42:52,2025-04-07 12:45:38,722.7666666666667,722.7666666666667,0,0,0
ORD_0027054089,29,29,True,True,True,True,True,True,True,True,2025-06-24 18:04:04,2025-06-25 06:17:24,733.3333333333334,733.3333333333334,0,0,0
ORD_0028654808,29,29,True,True,True,True,True,True,True,True,2025-06-01 05:12:12,2025-06-01 17:19:54,727.7,727.7,0,0,0
ORD_0029042359,29,29,True,True,True,True,True,True,True,True,2025-05-27 09:59:46,2025-05-28 00:18:40,858.9,858.9,0,0,0
ORD_0029188322,29,29,True,True,True,True,True,True,True,True,2025-06-08 18:48:43,2025-06-09 08:31:42,822.9833333333333,822.9833333333333,0,0,0
ORD_0029302274,29,29,True,True,True,True,True,True,True,True,2025-06-02 05:29:22,2025-06-02 19:52:23,863.0166666666667,863.0166666666667,0,0,0
ORD_0029801773,29,29,True,True,True,True,True,True,True,True,2025-05-02 08:12:59,2025-05-02 19:48:33,695.5666666666667,695.5666666666667,0,0,0
ORD_0030074053,29,29,True,True,True,True,True,True,True,True,2025-04-12 07:23:49,2025-04-12 22:37:06,913.2833333333334,913.2833333333333,0,0,0
ORD_0031601088,29,29,True,True,True,True,True,True,True,True,2025-05-05 01:37:30,2025-05-05 10:46:07,548.6166666666667,548.6166666666667,0,0,0
ORD_0031939877,29,29,True,True,True,True,True,True,True,True,2025-06-01 15:01:32,2025-06-02 03:42:06,760.5666666666667,760.5666666666667,0,0,0
ORD_0032801084,29,29,True,True,True,True,True,True,True,True,2025-04-07 05:19:53,2025-04-07 17:13:54,714.0166666666667,714.0166666666667,0,0,0
ORD_0033102991,29,29,True,True,True,True,True,True,True,True,2025-04-28 13:44:36,2025-04-29 03:08:42,804.1,804.1,0,0,0
ORD_0033309900,29,29,True,True,True,True,True,True,True,True,2025-04-11 18:30:53,2025-04-12 10:01:41,930.8,930.8,0,0,0
ORD_0033728910,29,29,True,True,True,True,True,True,True,True,2025-05-19 21:07:26,2025-05-20 13:52:46,1005.3333333333334,1005.3333333333334,0,0,0
ORD_0033843843,29,29,True,True,True,True,True,True,True,True,2025-06-13 23:03:24,2025-06-14 10:30:54,687.5,687.5,0,0,0
ORD_0035166345,29,29,True,True,True,True,True,True,True,True,2025-06-12 19:24:29,2025-06-13 15:21:42,1197.2166666666667,1197.2166666666667,0,0,0
ORD_0035664246,29,29,True,True,True,True,True,True,True,True,2025-05-22 17:20:38,2025-05-23 09:26:41,966.0500000000001,966.05,0,0,0
ORD_0036870875,29,29,True,True,True,True,True,True,True,True,2025-05-25 20:32:06,2025-05-26 08:01:18,689.2,689.2,0,0,0
ORD_0037422664,29,29,True,True,True,True,True,True,True,True,2025-05-02 12:33:51,2025-05-03 05:07:57,994.1,994.1,0,0,0
ORD_0037540742,29,29,True,True,True,True,True,True,True,True,2025-05-16 22:33:23,2025-05-17 10:14:48,701.4166666666666,701.4166666666666,0,0,0
ORD_0039272451,29,29,True,True,True,True,True,True,True,True,2025-05-26 17:20:32,2025-05-27 05:52:01,751.4833333333333,751.4833333333333,0,0,0
ORD_0039517929,29,29,True,True,True,True,True,True,True,True,2025-05-24 02:32:53,2025-05-24 11:30:36,537.7166666666667,537.7166666666667,0,0,0
ORD_0040417328,29,29,True,True,True,True,True,True,True,True,2025-04-06 02:56:25,2025-04-07 03:57:09,1500.7333333333333,1500.7333333333333,0,0,0
ORD_0041581886,29,29,True,True,True,True,True,True,True,True,2025-06-26 04:14:46,2025-06-26 17:55:18,820.5333333333333,820.5333333333333,0,0,0
ORD_0042501265,29,29,True,True,True,True,True,True,True,True,2025-05-03 05:30:24,2025-05-03 17:14:54,704.5,704.5,0,0,0
ORD_0042569135,29,29,True,True,True,True,True,True,True,True,2025-05-06 09:58:15,2025-05-07 00:13:36,855.35,855.35,0,0,0
