n_estimators,contamination,max_samples,max_features,random_state,anomaly_rate,score_mean,score_std,score_p95,score_p99,top_case_alignment
150,0.03,auto,1.0,42,0.03,0.449819,0.059123,0.571421,0.655115,1.0
150,0.03,auto,1.0,99,0.03,0.439107,0.06159,0.568691,0.649084,1.0
150,0.03,auto,1.0,123,0.03,0.441316,0.059452,0.564795,0.650918,1.0
150,0.03,auto,0.8,42,0.03,0.446792,0.058899,0.56762,0.649573,1.0
150,0.03,auto,0.8,99,0.03,0.445429,0.059053,0.566835,0.64787,1.0
150,0.03,auto,0.8,123,0.03,0.441752,0.058675,0.563667,0.640344,1.0
150,0.03,0.8,1.0,42,0.03,0.407602,0.043458,0.492518,0.569936,1.0
150,0.03,0.8,1.0,99,0.03,0.402362,0.043985,0.487825,0.568719,1.0
150,0.03,0.8,1.0,123,0.03,0.401942,0.044458,0.48973,0.567933,1.0
150,0.03,0.8,0.8,42,0.03,0.409059,0.044024,0.494744,0.573424,1.0
150,0.03,0.8,0.8,99,0.03,0.407263,0.043708,0.493635,0.571324,1.0
150,0.03,0.8,0.8,123,0.03,0.407687,0.042752,0.491794,0.567482,1.0
150,0.05,auto,1.0,42,0.05,0.449819,0.059123,0.571421,0.655115,1.0
150,0.05,auto,1.0,99,0.05,0.439107,0.06159,0.568691,0.649084,1.0
150,0.05,auto,1.0,123,0.05,0.441316,0.059452,0.564795,0.650918,1.0
150,0.05,auto,0.8,42,0.05,0.446792,0.058899,0.56762,0.649573,1.0
150,0.05,auto,0.8,99,0.05,0.445429,0.059053,0.566835,0.64787,1.0
150,0.05,auto,0.8,123,0.05,0.441752,0.058675,0.563667,0.640344,1.0
150,0.05,0.8,1.0,42,0.05,0.407602,0.043458,0.492518,0.569936,1.0
150,0.05,0.8,1.0,99,0.05,0.402362,0.043985,0.487825,0.568719,1.0
150,0.05,0.8,1.0,123,0.05,0.401942,0.044458,0.48973,0.567933,1.0
150,0.05,0.8,0.8,42,0.05,0.409059,0.044024,0.494744,0.573424,1.0
150,0.05,0.8,0.8,99,0.05,0.407263,0.043708,0.493635,0.571324,1.0
150,0.05,0.8,0.8,123,0.05,0.407687,0.042752,0.491794,0.567482,1.0
150,0.07,auto,1.0,42,0.07,0.449819,0.059123,0.571421,0.655115,1.0
150,0.07,auto,1.0,99,0.07,0.439107,0.06159,0.568691,0.649084,1.0
150,0.07,auto,1.0,123,0.07,0.441316,0.059452,0.564795,0.650918,1.0
150,0.07,auto,0.8,42,0.07,0.446792,0.058899,0.56762,0.649573,1.0
150,0.07,auto,0.8,99,0.07,0.445429,0.059053,0.566835,0.64787,1.0
150,0.07,auto,0.8,123,0.07,0.441752,0.058675,0.563667,0.640344,1.0
150,0.07,0.8,1.0,42,0.07,0.407602,0.043458,0.492518,0.569936,1.0
150,0.07,0.8,1.0,99,0.07,0.402362,0.043985,0.487825,0.568719,1.0
150,0.07,0.8,1.0,123,0.07,0.401942,0.044458,0.48973,0.567933,1.0
150,0.07,0.8,0.8,42,0.07,0.409059,0.044024,0.494744,0.573424,1.0
150,0.07,0.8,0.8,99,0.07,0.407263,0.043708,0.493635,0.571324,1.0
150,0.07,0.8,0.8,123,0.07,0.407687,0.042752,0.491794,0.567482,1.0
150,0.1,auto,1.0,42,0.1,0.449819,0.059123,0.571421,0.655115,1.0
150,0.1,auto,1.0,99,0.1,0.439107,0.06159,0.568691,0.649084,1.0
150,0.1,auto,1.0,123,0.1,0.441316,0.059452,0.564795,0.650918,1.0
150,0.1,auto,0.8,42,0.1,0.446792,0.058899,0.56762,0.649573,1.0
150,0.1,auto,0.8,99,0.1,0.445429,0.059053,0.566835,0.64787,1.0
150,0.1,auto,0.8,123,0.1,0.441752,0.058675,0.563667,0.640344,1.0
150,0.1,0.8,1.0,42,0.1,0.407602,0.043458,0.492518,0.569936,1.0
150,0.1,0.8,1.0,99,0.1,0.402362,0.043985,0.487825,0.568719,1.0
150,0.1,0.8,1.0,123,0.1,0.401942,0.044458,0.48973,0.567933,1.0
150,0.1,0.8,0.8,42,0.1,0.409059,0.044024,0.494744,0.573424,1.0
150,0.1,0.8,0.8,99,0.1,0.407263,0.043708,0.493635,0.571324,1.0
150,0.1,0.8,0.8,123,0.1,0.407687,0.042752,0.491794,0.567482,1.0
250,0.03,auto,1.0,42,0.03,0.448179,0.058676,0.569904,0.651649,1.0
250,0.03,auto,1.0,99,0.03,0.441425,0.059777,0.56493,0.648133,1.0
250,0.03,auto,1.0,123,0.03,0.44195,0.059538,0.565757,0.651495,1.0
250,0.03,auto,0.8,42,0.03,0.443145,0.058879,0.56427,0.653131,1.0
250,0.03,auto,0.8,99,0.03,0.445934,0.059038,0.56632,0.647295,1.0
250,0.03,auto,0.8,123,0.03,0.44433,0.057723,0.564582,0.640548,1.0
250,0.03,0.8,1.0,42,0.03,0.40672,0.043737,0.491654,0.5696,1.0
250,0.03,0.8,1.0,99,0.03,0.40544,0.044067,0.49105,0.570402,1.0
250,0.03,0.8,1.0,123,0.03,0.403076,0.044332,0.490663,0.570346,1.0
250,0.03,0.8,0.8,42,0.03,0.408617,0.042697,0.490547,0.568975,1.0
250,0.03,0.8,0.8,99,0.03,0.407732,0.044366,0.495945,0.57514,1.0
250,0.03,0.8,0.8,123,0.03,0.408449,0.042915,0.492359,0.568292,1.0
250,0.05,auto,1.0,42,0.05,0.448179,0.058676,0.569904,0.651649,1.0
250,0.05,auto,1.0,99,0.05,0.441425,0.059777,0.56493,0.648133,1.0
250,0.05,auto,1.0,123,0.05,0.44195,0.059538,0.565757,0.651495,1.0
250,0.05,auto,0.8,42,0.05,0.443145,0.058879,0.56427,0.653131,1.0
250,0.05,auto,0.8,99,0.05,0.445934,0.059038,0.56632,0.647295,1.0
250,0.05,auto,0.8,123,0.05,0.44433,0.057723,0.564582,0.640548,1.0
250,0.05,0.8,1.0,42,0.05,0.40672,0.043737,0.491654,0.5696,1.0
250,0.05,0.8,1.0,99,0.05,0.40544,0.044067,0.49105,0.570402,1.0
250,0.05,0.8,1.0,123,0.05,0.403076,0.044332,0.490663,0.570346,1.0
250,0.05,0.8,0.8,42,0.05,0.408617,0.042697,0.490547,0.568975,1.0
250,0.05,0.8,0.8,99,0.05,0.407732,0.044366,0.495945,0.57514,1.0
250,0.05,0.8,0.8,123,0.05,0.408449,0.042915,0.492359,0.568292,1.0
250,0.07,auto,1.0,42,0.07,0.448179,0.058676,0.569904,0.651649,1.0
250,0.07,auto,1.0,99,0.07,0.441425,0.059777,0.56493,0.648133,1.0
250,0.07,auto,1.0,123,0.07,0.44195,0.059538,0.565757,0.651495,1.0
250,0.07,auto,0.8,42,0.07,0.443145,0.058879,0.56427,0.653131,1.0
250,0.07,auto,0.8,99,0.07,0.445934,0.059038,0.56632,0.647295,1.0
250,0.07,auto,0.8,123,0.07,0.44433,0.057723,0.564582,0.640548,1.0
250,0.07,0.8,1.0,42,0.07,0.40672,0.043737,0.491654,0.5696,1.0
250,0.07,0.8,1.0,99,0.07,0.40544,0.044067,0.49105,0.570402,1.0
250,0.07,0.8,1.0,123,0.07,0.403076,0.044332,0.490663,0.570346,1.0
250,0.07,0.8,0.8,42,0.07,0.408617,0.042697,0.490547,0.568975,1.0
250,0.07,0.8,0.8,99,0.07,0.407732,0.044366,0.495945,0.57514,1.0
250,0.07,0.8,0.8,123,0.07,0.408449,0.042915,0.492359,0.568292,1.0
250,0.1,auto,1.0,42,0.1,0.448179,0.058676,0.569904,0.651649,1.0
250,0.1,auto,1.0,99,0.1,0.441425,0.059777,0.56493,0.648133,1.0
250,0.1,auto,1.0,123,0.1,0.44195,0.059538,0.565757,0.651495,1.0
250,0.1,auto,0.8,42,0.1,0.443145,0.058879,0.56427,0.653131,1.0
250,0.1,auto,0.8,99,0.1,0.445934,0.059038,0.56632,0.647295,1.0
250,0.1,auto,0.8,123,0.1,0.44433,0.057723,0.564582,0.640548,1.0
250,0.1,0.8,1.0,42,0.1,0.40672,0.043737,0.491654,0.5696,1.0
250,0.1,0.8,1.0,99,0.1,0.40544,0.044067,0.49105,0.570402,1.0
250,0.1,0.8,1.0,123,0.1,0.403076,0.044332,0.490663,0.570346,1.0
250,0.1,0.8,0.8,42,0.1,0.408617,0.042697,0.490547,0.568975,1.0
250,0.1,0.8,0.8,99,0.1,0.407732,0.044366,0.495945,0.57514,1.0
250,0.1,0.8,0.8,123,0.1,0.408449,0.042915,0.492359,0.568292,1.0
350,0.03,auto,1.0,42,0.03,0.44632,0.058313,0.567385,0.64842,1.0
350,0.03,auto,1.0,99,0.03,0.442181,0.059252,0.56552,0.646194,1.0
350,0.03,auto,1.0,123,0.03,0.443148,0.058532,0.563172,0.651004,1.0
350,0.03,auto,0.8,42,0.03,0.443541,0.058717,0.564808,0.65325,1.0
350,0.03,auto,0.8,99,0.03,0.446651,0.058659,0.565693,0.650823,1.0
350,0.03,auto,0.8,123,0.03,0.444017,0.058243,0.565879,0.643499,1.0
350,0.03,0.8,1.0,42,0.03,0.406714,0.043604,0.490596,0.569907,1.0
350,0.03,0.8,1.0,99,0.03,0.405665,0.043889,0.491086,0.57018,1.0
350,0.03,0.8,1.0,123,0.03,0.404648,0.044224,0.49182,0.569376,1.0
350,0.03,0.8,0.8,42,0.03,0.408401,0.042945,0.490979,0.568338,1.0
350,0.03,0.8,0.8,99,0.03,0.407955,0.044293,0.495294,0.574681,1.0
350,0.03,0.8,0.8,123,0.03,0.407567,0.043052,0.491592,0.56795,1.0
350,0.05,auto,1.0,42,0.05,0.44632,0.058313,0.567385,0.64842,1.0
350,0.05,auto,1.0,99,0.05,0.442181,0.059252,0.56552,0.646194,1.0
350,0.05,auto,1.0,123,0.05,0.443148,0.058532,0.563172,0.651004,1.0
350,0.05,auto,0.8,42,0.05,0.443541,0.058717,0.564808,0.65325,1.0
350,0.05,auto,0.8,99,0.05,0.446651,0.058659,0.565693,0.650823,1.0
350,0.05,auto,0.8,123,0.05,0.444017,0.058243,0.565879,0.643499,1.0
350,0.05,0.8,1.0,42,0.05,0.406714,0.043604,0.490596,0.569907,1.0
350,0.05,0.8,1.0,99,0.05,0.405665,0.043889,0.491086,0.57018,1.0
350,0.05,0.8,1.0,123,0.05,0.404648,0.044224,0.49182,0.569376,1.0
350,0.05,0.8,0.8,42,0.05,0.408401,0.042945,0.490979,0.568338,1.0
350,0.05,0.8,0.8,99,0.05,0.407955,0.044293,0.495294,0.574681,1.0
350,0.05,0.8,0.8,123,0.05,0.407567,0.043052,0.491592,0.56795,1.0
350,0.07,auto,1.0,42,0.07,0.44632,0.058313,0.567385,0.64842,1.0
350,0.07,auto,1.0,99,0.07,0.442181,0.059252,0.56552,0.646194,1.0
350,0.07,auto,1.0,123,0.07,0.443148,0.058532,0.563172,0.651004,1.0
350,0.07,auto,0.8,42,0.07,0.443541,0.058717,0.564808,0.65325,1.0
350,0.07,auto,0.8,99,0.07,0.446651,0.058659,0.565693,0.650823,1.0
350,0.07,auto,0.8,123,0.07,0.444017,0.058243,0.565879,0.643499,1.0
350,0.07,0.8,1.0,42,0.07,0.406714,0.043604,0.490596,0.569907,1.0
350,0.07,0.8,1.0,99,0.07,0.405665,0.043889,0.491086,0.57018,1.0
350,0.07,0.8,1.0,123,0.07,0.404648,0.044224,0.49182,0.569376,1.0
350,0.07,0.8,0.8,42,0.07,0.408401,0.042945,0.490979,0.568338,1.0
350,0.07,0.8,0.8,99,0.07,0.407955,0.044293,0.495294,0.574681,1.0
350,0.07,0.8,0.8,123,0.07,0.407567,0.043052,0.491592,0.56795,1.0
350,0.1,auto,1.0,42,0.1,0.44632,0.058313,0.567385,0.64842,1.0
350,0.1,auto,1.0,99,0.1,0.442181,0.059252,0.56552,0.646194,1.0
350,0.1,auto,1.0,123,0.1,0.443148,0.058532,0.563172,0.651004,1.0
350,0.1,auto,0.8,42,0.1,0.443541,0.058717,0.564808,0.65325,1.0
350,0.1,auto,0.8,99,0.1,0.446651,0.058659,0.565693,0.650823,1.0
350,0.1,auto,0.8,123,0.1,0.444017,0.058243,0.565879,0.643499,1.0
350,0.1,0.8,1.0,42,0.1,0.406714,0.043604,0.490596,0.569907,1.0
350,0.1,0.8,1.0,99,0.1,0.405665,0.043889,0.491086,0.57018,1.0
350,0.1,0.8,1.0,123,0.1,0.404648,0.044224,0.49182,0.569376,1.0
350,0.1,0.8,0.8,42,0.1,0.408401,0.042945,0.490979,0.568338,1.0
350,0.1,0.8,0.8,99,0.1,0.407955,0.044293,0.495294,0.574681,1.0
350,0.1,0.8,0.8,123,0.1,0.407567,0.043052,0.491592,0.56795,1.0
