process_code,case_id,risk_score,anomaly_score,overall_severity,top_step_name,top_step_duration_min,top_step_p95,top_step_deviation_p95,top_step_zscore,top_step_severity,validation_warnings
TRUCKING_DELIVERY_FLOW,ORD_5260181590,43.0,0.400812,CRITICAL,STEP_026_POD_UPLOADED,91.667,49.337,1.858,4.912,CRITICAL,[]
TRUCKING_DELIVERY_FLOW,ORD_6723268656,32.0,0.394421,NORMAL,STEP_001_DISPATCH_CREATED,26.467,24.833,1.066,2.16,WATCHLIST,[]
TRUCKING_DELIVERY_FLOW,ORD_6668364507,3.0,0.371732,NORMAL,STEP_029_BILLING_COMPLETE,23.8,24.534,0.97,1.776,NORMAL,[]
TRUCKING_DELIVERY_FLOW,ORD_1923969372,44.0,0.401309,BOTTLENECK,STEP_008_GATE_IN_PICKUP,32.383,24.101,1.344,3.04,BOTTLENECK,[]
TRUCKING_DELIVERY_FLOW,ORD_1636246770,10.0,0.380034,BOTTLENECK,STEP_015_HUB_INBOUND_SCAN,32.55,25.068,1.298,2.912,BOTTLENECK,[]
TRUCKING_DELIVERY_FLOW,ORD_2676749544,28.0,0.391921,BOTTLENECK,STEP_010_LOAD_START,61.517,49.884,1.233,2.651,BOTTLENECK,[]
TRUCKING_DELIVERY_FLOW,ORD_6289332976,17.0,0.385232,NORMAL,STEP_012_DEPART_PICKUP,27.15,24.934,1.089,2.205,WATCHLIST,[]
TRUCKING_DELIVERY_FLOW,ORD_6374536040,46.0,0.402877,NORMAL,STEP_023_OUT_FOR_DELIVERY,72.6,73.484,0.988,1.827,NORMAL,[]
TRUCKING_DELIVERY_FLOW,ORD_8397641323,99.0,0.515912,CRITICAL,STEP_013_EN_ROUTE_HUB,930.467,343.422,2.709,7.575,CRITICAL,[]
TRUCKING_DELIVERY_FLOW,ORD_6304046335,6.0,0.375129,NORMAL,STEP_021_LASTMILE_SORT_COMPLETE,25.267,30.067,0.84,1.262,NORMAL,[]
TRUCKING_DELIVERY_FLOW,ORD_2967000891,67.0,0.41717,CRITICAL,STEP_025_DELIVERED_CONFIRMED,48.683,24.817,1.962,5.257,CRITICAL,[]
TRUCKING_DELIVERY_FLOW,ORD_4700894595,73.0,0.422839,ELEVATED,STEP_007_ARRIVE_PICKUP,25.7,24.752,1.038,2.022,WATCHLIST,[]
TRUCKING_DELIVERY_FLOW,ORD_6993100026,52.0,0.406834,BOTTLENECK,STEP_016_HUB_SORT_COMPLETE,43.933,30.335,1.448,3.322,BOTTLENECK,[]
TRUCKING_DELIVERY_FLOW,ORD_8958836194,98.0,0.507701,CRITICAL,STEP_013_EN_ROUTE_HUB,556.05,343.422,1.619,3.94,CRITICAL,[]
TRUCKING_DELIVERY_FLOW,ORD_6642385052,22.0,0.388564,NORMAL,STEP_006_DRIVER_EN_ROUTE_PICKUP,31.133,29.051,1.072,2.136,WATCHLIST,[]
TRUCKING_DELIVERY_FLOW,ORD_8452237344,56.0,0.409285,BOTTLENECK,STEP_006_DRIVER_EN_ROUTE_PICKUP,42.1,29.051,1.449,3.403,BOTTLENECK,[]
TRUCKING_DELIVERY_FLOW,ORD_5031563635,35.0,0.39587,NORMAL,STEP_010_LOAD_START,53.367,49.884,1.07,2.084,WATCHLIST,[]
TRUCKING_DELIVERY_FLOW,ORD_6109749711,75.0,0.424655,BOTTLENECK,STEP_007_ARRIVE_PICKUP,33.15,24.752,1.339,3.102,BOTTLENECK,[]
TRUCKING_DELIVERY_FLOW,ORD_0250302436,13.0,0.381841,NORMAL,STEP_008_GATE_IN_PICKUP,23.6,24.101,0.979,1.76,NORMAL,[]
TRUCKING_DELIVERY_FLOW,ORD_9152138551,13.0,0.381671,NORMAL,STEP_010_LOAD_START,46.433,49.884,0.931,1.601,NORMAL,[]
TRUCKING_DELIVERY_FLOW,ORD_3600848826,97.0,0.491204,CRITICAL,STEP_021_LASTMILE_SORT_COMPLETE,69.433,30.067,2.309,6.284,CRITICAL,[]
TRUCKING_DELIVERY_FLOW,ORD_1140618836,43.0,0.400784,NORMAL,STEP_010_LOAD_START,56.183,49.884,1.126,2.28,WATCHLIST,[]
TRUCKING_DELIVERY_FLOW,ORD_3201144686,90.0,0.44799,CRITICAL,STEP_021_LASTMILE_SORT_COMPLETE,46.017,30.067,1.53,3.622,CRITICAL,[]
TRUCKING_DELIVERY_FLOW,ORD_8248617665,55.0,0.408026,NORMAL,STEP_022_ROUTE_PLANNED,27.567,24.9,1.107,2.271,WATCHLIST,[]
TRUCKING_DELIVERY_FLOW,ORD_1781271398,12.0,0.38105,NORMAL,STEP_020_ARRIVE_LASTMILE_DEPOT,26.167,24.233,1.08,2.145,WATCHLIST,[]
TRUCKING_DELIVERY_FLOW,ORD_1494746140,77.0,0.427194,ELEVATED,STEP_006_DRIVER_EN_ROUTE_PICKUP,31.1,29.051,1.071,2.132,WATCHLIST,[]
TRUCKING_DELIVERY_FLOW,ORD_6121546608,76.0,0.425184,CRITICAL,STEP_009_WAIT_PICKUP,40.133,24.067,1.668,4.033,CRITICAL,[]
TRUCKING_DELIVERY_FLOW,ORD_6469855566,72.0,0.421639,BOTTLENECK,STEP_001_DISPATCH_CREATED,29.617,24.833,1.193,2.618,BOTTLENECK,[]
TRUCKING_DELIVERY_FLOW,ORD_6350531956,16.0,0.384117,NORMAL,STEP_005_PICKUP_APPOINTMENT_SET,23.35,24.9,0.938,1.67,NORMAL,[]
TRUCKING_DELIVERY_FLOW,ORD_6123561459,19.0,0.386666,NORMAL,STEP_005_PICKUP_APPOINTMENT_SET,21.033,24.9,0.845,1.337,NORMAL,[]
TRUCKING_DELIVERY_FLOW,ORD_9757793457,1.0,0.367974,NORMAL,STEP_011_LOAD_COMPLETE,41.05,48.883,0.84,1.276,NORMAL,[]
TRUCKING_DELIVERY_FLOW,ORD_5645151182,28.0,0.39184,NORMAL,STEP_025_DELIVERED_CONFIRMED,23.383,24.817,0.942,1.663,NORMAL,[]
TRUCKING_DELIVERY_FLOW,ORD_2349852081,52.0,0.40685,NORMAL,STEP_001_DISPATCH_CREATED,25.583,24.833,1.03,2.032,WATCHLIST,[]
TRUCKING_DELIVERY_FLOW,ORD_5927020442,31.0,0.393781,NORMAL,STEP_029_BILLING_COMPLETE,27.283,24.534,1.112,2.283,WATCHLIST,[]
