step_code,missing_case_count,step_label
STEP_001_DISPATCH_CREATED,0,Dispatch Created
STEP_002_CARRIER_TENDERED,0,Carrier Tendered
STEP_003_TENDER_ACCEPTED,0,Tender Accepted
STEP_004_DRIVER_ASSIGNED,0,Driver Assigned
STEP_005_PICKUP_APPOINTMENT_SET,0,Pickup Appointment Set
STEP_006_DRIVER_EN_ROUTE_PICKUP,0,Driver En Route Pickup
STEP_007_ARRIVE_PICKUP,0,Arrive Pickup
STEP_008_GATE_IN_PICKUP,0,Gate In Pickup
STEP_009_WAIT_PICKUP,0,Wait Pickup
STEP_010_LOAD_START,0,Load Start
STEP_011_LOAD_COMPLETE,0,Load Complete
STEP_012_DEPART_PICKUP,0,Depart Pickup
STEP_013_EN_ROUTE_HUB,0,En Route Hub
STEP_014_ARRIVE_HUB,0,Arrive Hub
STEP_015_HUB_INBOUND_SCAN,0,Hub Inbound Scan
STEP_016_HUB_SORT_COMPLETE,0,Hub Sort Complete
STEP_017_HUB_OUTBOUND_SCAN,0,Hub Outbound Scan
STEP_018_LINEHAUL_START,0,Linehaul Start
STEP_019_IN_TRANSIT_LINEHAUL,0,In Transit Linehaul
STEP_020_ARRIVE_LASTMILE_DEPOT,0,Arrive Lastmile Depot
STEP_021_LASTMILE_SORT_COMPLETE,0,Lastmile Sort Complete
STEP_022_ROUTE_PLANNED,0,Route Planned
STEP_023_OUT_FOR_DELIVERY,0,Out For Delivery
STEP_024_DELIVERY_ATTEMPT_1,0,Delivery Attempt 1
STEP_025_DELIVERED_CONFIRMED,0,Delivered Confirmed
STEP_026_POD_UPLOADED,0,Pod Uploaded
STEP_027_RETURN_TO_DEPOT,0,Return To Depot
STEP_028_TRIP_CLOSEOUT,0,Trip Closeout
STEP_029_BILLING_COMPLETE,0,Billing Complete
