case_id,avg_gap_to_next_min,max_gap_to_next_min
ORD_0000312750,0.0,0.0
ORD_0000434015,0.0,0.0
ORD_0003576909,0.0,0.0
ORD_0003662246,0.0,0.0
ORD_0004464291,0.0,0.0
ORD_0005053777,0.0,0.0
ORD_0005511584,0.0,0.0
ORD_0006530047,0.0,0.0
ORD_0010627475,0.0,0.0
ORD_0010926443,0.0,0.0
ORD_0011350592,0.0,0.0
ORD_0012953663,0.0,0.0
ORD_0013133868,0.0,0.0
ORD_0014148851,0.0,0.0
ORD_0014275379,0.0,0.0
ORD_0015231940,0.0,0.0
ORD_0015275263,0.0,0.0
ORD_0015850954,0.0,0.0
ORD_0016987134,0.0,0.0
ORD_0017772566,0.0,0.0
ORD_0018881361,0.0,0.0
ORD_0019124482,0.0,0.0
ORD_0020802216,0.0,0.0
ORD_0022070780,0.0,0.0
ORD_0022961984,0.0,0.0
ORD_0023300112,0.0,0.0
ORD_0023350638,0.0,0.0
ORD_0024079966,0.0,0.0
ORD_0025145155,0.0,0.0
ORD_0026934629,0.0,0.0
ORD_0027054089,0.0,0.0
ORD_0028654808,0.0,0.0
ORD_0029042359,0.0,0.0
ORD_0029188322,0.0,0.0
ORD_0029302274,0.0,0.0
ORD_0029801773,0.0,0.0
ORD_0030074053,0.0,0.0
ORD_0031601088,0.0,0.0
ORD_0031939877,0.0,0.0
ORD_0032801084,0.0,0.0
ORD_0033102991,0.0,0.0
ORD_0033309900,0.0,0.0
ORD_0033728910,0.0,0.0
ORD_0033843843,0.0,0.0
ORD_0035166345,0.0,0.0
ORD_0035664246,0.0,0.0
ORD_0036870875,0.0,0.0
ORD_0037422664,0.0,0.0
ORD_0037540742,0.0,0.0
ORD_0039272451,0.0,0.0
ORD_0039517929,0.0,0.0
ORD_0040417328,0.0,0.0
ORD_0041581886,0.0,0.0
ORD_0042501265,0.0,0.0
ORD_0042569135,0.0,0.0
ORD_0042678950,0.0,0.0
ORD_0043857406,0.0,0.0
ORD_0044395926,0.0,0.0
ORD_0044545562,0.0,0.0
ORD_0045126980,0.0,0.0
ORD_0045993843,0.0,0.0
ORD_0046356598,0.0,0.0
ORD_0047759506,0.0,0.0
ORD_0047853274,0.0,0.0
ORD_0047954372,0.0,0.0
ORD_0048229801,0.0,0.0
ORD_0048767541,0.0,0.0
ORD_0049426068,0.0,0.0
ORD_0051150364,0.0,0.0
ORD_0052122110,0.0,0.0
ORD_0052551721,0.0,0.0
ORD_0053456737,0.0,0.0
ORD_0054345018,0.0,0.0
ORD_0055419138,0.0,0.0
ORD_0056138917,0.0,0.0
ORD_0056622231,0.0,0.0
ORD_0057192957,0.0,0.0
ORD_0059483224,0.0,0.0
ORD_0059581355,0.0,0.0
ORD_0059604254,0.0,0.0
ORD_0059667242,0.0,0.0
ORD_0060150883,0.0,0.0
ORD_0062227672,0.0,0.0
ORD_0062260625,0.0,0.0
ORD_0062785296,0.0,0.0
ORD_0064833823,0.0,0.0
ORD_0066024440,0.0,0.0
ORD_0069951956,0.0,0.0
ORD_0071046305,0.0,0.0
ORD_0071564771,0.0,0.0
ORD_0072532693,0.0,0.0
ORD_0072637699,0.0,0.0
ORD_0073333661,0.0,0.0
ORD_0073869732,0.0,0.0
ORD_0078750778,0.0,0.0
ORD_0080291921,0.0,0.0
ORD_0080965698,0.0,0.0
ORD_0081594983,0.0,0.0
ORD_0082062741,0.0,0.0
ORD_0082249542,0.0,0.0
ORD_0084811483,0.0,0.0
ORD_0085307515,0.0,0.0
ORD_0086138859,0.0,0.0
ORD_0087237915,0.0,0.0
ORD_0088411040,0.0,0.0
ORD_0088930328,0.0,0.0
ORD_0089734288,0.0,0.0
ORD_0089866093,0.0,0.0
ORD_0091539146,0.0,0.0
ORD_0092104066,0.0,0.0
ORD_0093481641,0.0,0.0
ORD_0095726321,0.0,0.0
ORD_0096024379,0.0,0.0
ORD_0099442817,0.0,0.0
ORD_0099476785,0.0,0.0
ORD_0100375233,0.0,0.0
ORD_0100659479,0.0,0.0
ORD_0101182661,0.0,0.0
ORD_0101940685,0.0,0.0
ORD_0103228430,0.0,0.0
ORD_0104305047,0.0,0.0
ORD_0105189342,0.0,0.0
ORD_0105562077,0.0,0.0
ORD_0105610109,0.0,0.0
ORD_0106109676,0.0,0.0
ORD_0106664925,0.0,0.0
ORD_0106740971,0.0,0.0
ORD_0107802385,0.0,0.0
ORD_0108324712,0.0,0.0
ORD_0108677286,0.0,0.0
ORD_0108709897,0.0,0.0
