case_id,picking_touch_count,packing_touch_count,qc_touch_count,staging_touch_count,handoff_touch_count,pick_retouch_flag,pack_retouch_flag,qc_repeat_flag,staging_repeat_flag
ORD_0000312750,2,2,3,1,2,0,0,1,0
ORD_0000434015,2,2,3,1,2,0,0,1,0
ORD_0003576909,2,2,3,1,2,0,0,1,0
ORD_0003662246,2,2,3,1,2,0,0,1,0
ORD_0004464291,2,2,3,1,2,0,0,1,0
ORD_0005053777,2,2,3,1,2,0,0,1,0
ORD_0005511584,2,2,3,1,2,0,0,1,0
ORD_0006530047,2,2,3,1,2,0,0,1,0
ORD_0010627475,2,2,3,1,2,0,0,1,0
ORD_0010926443,2,2,3,1,2,0,0,1,0
ORD_0011350592,2,2,3,1,2,0,0,1,0
ORD_0012953663,2,2,3,1,2,0,0,1,0
ORD_0013133868,2,2,3,1,2,0,0,1,0
ORD_0014148851,2,2,3,1,2,0,0,1,0
ORD_0014275379,2,2,3,1,2,0,0,1,0
ORD_0015231940,2,2,3,1,2,0,0,1,0
ORD_0015275263,2,2,3,1,2,0,0,1,0
ORD_0015850954,2,2,3,1,2,0,0,1,0
ORD_0016987134,2,2,3,1,2,0,0,1,0
ORD_0017772566,2,2,3,1,2,0,0,1,0
ORD_0018881361,2,2,3,1,2,0,0,1,0
ORD_0019124482,2,2,3,1,2,0,0,1,0
ORD_0020802216,2,2,3,1,2,0,0,1,0
ORD_0022070780,2,2,3,1,2,0,0,1,0
ORD_0022961984,2,2,3,1,2,0,0,1,0
ORD_0023300112,2,2,3,1,2,0,0,1,0
ORD_0023350638,2,2,3,1,2,0,0,1,0
ORD_0024079966,2,2,3,1,2,0,0,1,0
ORD_0025145155,2,2,3,1,2,0,0,1,0
ORD_0026934629,2,2,3,1,2,0,0,1,0
ORD_0027054089,2,2,3,1,2,0,0,1,0
ORD_0028654808,2,2,3,1,2,0,0,1,0
ORD_0029042359,2,2,3,1,2,0,0,1,0
ORD_0029188322,2,2,3,1,2,0,0,1,0
ORD_0029302274,2,2,3,1,2,0,0,1,0
ORD_0029801773,2,2,3,1,2,0,0,1,0
ORD_0030074053,2,2,3,1,2,0,0,1,0
ORD_0031601088,2,2,3,1,2,0,0,1,0
ORD_0031939877,2,2,3,1,2,0,0,1,0
ORD_0032801084,2,2,3,1,2,0,0,1,0
ORD_0033102991,2,2,3,1,2,0,0,1,0
ORD_0033309900,2,2,3,1,2,0,0,1,0
ORD_0033728910,2,2,3,1,2,0,0,1,0
ORD_0033843843,2,2,3,1,2,0,0,1,0
ORD_0035166345,2,2,3,1,2,0,0,1,0
ORD_0035664246,2,2,3,1,2,0,0,1,0
ORD_0036870875,2,2,3,1,2,0,0,1,0
ORD_0037422664,2,2,3,1,2,0,0,1,0
ORD_0037540742,2,2,3,1,2,0,0,1,0
ORD_0039272451,2,2,3,1,2,0,0,1,0
ORD_0039517929,2,2,3,1,2,0,0,1,0
ORD_0040417328,2,2,3,1,2,0,0,1,0
ORD_0041581886,2,2,3,1,2,0,0,1,0
ORD_0042501265,2,2,3,1,2,0,0,1,0
ORD_0042569135,2,2,3,1,2,0,0,1,0
ORD_0042678950,2,2,3,1,2,0,0,1,0
ORD_0043857406,2,2,3,1,2,0,0,1,0
ORD_0044395926,2,2,3,1,2,0,0,1,0
ORD_0044545562,2,2,3,1,2,0,0,1,0
ORD_0045126980,2,2,3,1,2,0,0,1,0
ORD_0045993843,2,2,3,1,2,0,0,1,0
ORD_0046356598,2,2,3,1,2,0,0,1,0
ORD_0047759506,2,2,3,1,2,0,0,1,0
ORD_0047853274,2,2,3,1,2,0,0,1,0
ORD_0047954372,2,2,3,1,2,0,0,1,0
ORD_0048229801,2,2,3,1,2,0,0,1,0
ORD_0048767541,2,2,3,1,2,0,0,1,0
ORD_0049426068,2,2,3,1,2,0,0,1,0
ORD_0051150364,2,2,3,1,2,0,0,1,0
ORD_0052122110,2,2,3,1,2,0,0,1,0
ORD_0052551721,2,2,3,1,2,0,0,1,0
ORD_0053456737,2,2,3,1,2,0,0,1,0
ORD_0054345018,2,2,3,1,2,0,0,1,0
ORD_0055419138,2,2,3,1,2,0,0,1,0
ORD_0056138917,2,2,3,1,2,0,0,1,0
ORD_0056622231,2,2,3,1,2,0,0,1,0
ORD_0057192957,2,2,3,1,2,0,0,1,0
ORD_0059483224,2,2,3,1,2,0,0,1,0
ORD_0059581355,2,2,3,1,2,0,0,1,0
ORD_0059604254,2,2,3,1,2,0,0,1,0
ORD_0059667242,2,2,3,1,2,0,0,1,0
ORD_0060150883,2,2,3,1,2,0,0,1,0
ORD_0062227672,2,2,3,1,2,0,0,1,0
ORD_0062260625,2,2,3,1,2,0,0,1,0
ORD_0062785296,2,2,3,1,2,0,0,1,0
ORD_0064833823,2,2,3,1,2,0,0,1,0
ORD_0066024440,2,2,3,1,2,0,0,1,0
ORD_0069951956,2,2,3,1,2,0,0,1,0
ORD_0071046305,2,2,3,1,2,0,0,1,0
ORD_0071564771,2,2,3,1,2,0,0,1,0
ORD_0072532693,2,2,3,1,2,0,0,1,0
ORD_0072637699,2,2,3,1,2,0,0,1,0
ORD_0073333661,2,2,3,1,2,0,0,1,0
ORD_0073869732,2,2,3,1,2,0,0,1,0
ORD_0078750778,2,2,3,1,2,0,0,1,0
ORD_0080291921,2,2,3,1,2,0,0,1,0
