process_code,case_id,risk_score,anomaly_score,overall_severity,top_step_name,top_step_duration_min,top_step_p95,top_step_deviation_p95,top_step_zscore,top_step_severity,validation_warnings
WAREHOUSE_FULFILLMENT,ORD_5260181590,78.0,0.432292,CRITICAL,STEP_011_PACKING_START,58.583,35.201,1.664,4.134,CRITICAL,[]
WAREHOUSE_FULFILLMENT,ORD_6723268656,36.0,0.397522,NORMAL,STEP_023_WAREHOUSE_CLOSEOUT,21.583,19.917,1.084,2.16,WATCHLIST,[]
WAREHOUSE_FULFILLMENT,ORD_6668364507,21.0,0.38789,NORMAL,STEP_009_SORTATION_COMPLETE,33.583,30.034,1.118,2.034,WATCHLIST,[]
WAREHOUSE_FULFILLMENT,ORD_1923969372,52.0,0.408687,CRITICAL,STEP_015_MANIFEST_CREATED,40.467,19.733,2.051,5.618,CRITICAL,[]
WAREHOUSE_FULFILLMENT,ORD_1636246770,54.0,0.410222,NORMAL,STEP_007_PICK_COMPLETE,28.717,25.067,1.146,2.435,WATCHLIST,[]
WAREHOUSE_FULFILLMENT,ORD_2676749544,55.0,0.410683,NORMAL,STEP_006_PICK_START,26.567,24.1,1.102,2.14,WATCHLIST,[]
WAREHOUSE_FULFILLMENT,ORD_6289332976,93.0,0.468962,CRITICAL,STEP_013_WEIGH_DIM_CHECK,51.767,29.334,1.765,4.547,CRITICAL,[]
WAREHOUSE_FULFILLMENT,ORD_6374536040,57.0,0.412546,BOTTLENECK,STEP_008_REPLENISH_COMPLETE,26.367,19.533,1.35,3.11,BOTTLENECK,[]
WAREHOUSE_FULFILLMENT,ORD_8397641323,50.0,0.406763,NORMAL,STEP_015_MANIFEST_CREATED,17.3,19.733,0.877,1.442,NORMAL,[]
WAREHOUSE_FULFILLMENT,ORD_6304046335,0.0,0.363434,NORMAL,STEP_012_LABEL_PRINT,25.067,35.234,0.711,0.871,NORMAL,[]
WAREHOUSE_FULFILLMENT,ORD_2967000891,84.0,0.441801,CRITICAL,STEP_018_LOAD_TO_TRUCK,79.45,49.036,1.62,3.72,CRITICAL,[]
WAREHOUSE_FULFILLMENT,ORD_4700894595,73.0,0.426392,BOTTLENECK,STEP_022_DEPART_WAREHOUSE,23.233,19.984,1.163,2.515,BOTTLENECK,[]
WAREHOUSE_FULFILLMENT,ORD_6993100026,28.0,0.392629,NORMAL,STEP_009_SORTATION_COMPLETE,24.367,30.034,0.811,1.068,NORMAL,[]
WAREHOUSE_FULFILLMENT,ORD_8958836194,92.0,0.461202,CRITICAL,STEP_020_HANDOFF_CARRIER,34.867,19.683,1.771,4.4,CRITICAL,[]
WAREHOUSE_FULFILLMENT,ORD_6642385052,54.0,0.409765,BOTTLENECK,STEP_001_ORDER_CONFIRMED,27.25,19.684,1.384,3.237,BOTTLENECK,[]
WAREHOUSE_FULFILLMENT,ORD_8452237344,29.0,0.393157,BOTTLENECK,STEP_009_SORTATION_COMPLETE,37.85,30.034,1.26,2.482,BOTTLENECK,[]
WAREHOUSE_FULFILLMENT,ORD_5031563635,22.0,0.388347,NORMAL,STEP_018_LOAD_TO_TRUCK,37.583,49.036,0.766,0.937,NORMAL,[]
WAREHOUSE_FULFILLMENT,ORD_6109749711,34.0,0.396474,NORMAL,STEP_022_DEPART_WAREHOUSE,17.583,19.984,0.88,1.49,NORMAL,[]
WAREHOUSE_FULFILLMENT,ORD_0250302436,66.0,0.419635,ELEVATED,STEP_012_LABEL_PRINT,33.383,35.234,0.947,1.711,NORMAL,[]
WAREHOUSE_FULFILLMENT,ORD_9152138551,2.0,0.369552,NORMAL,STEP_012_LABEL_PRINT,29.733,35.234,0.844,1.342,NORMAL,[]
WAREHOUSE_FULFILLMENT,ORD_3600848826,21.0,0.387493,NORMAL,STEP_001_ORDER_CONFIRMED,15.817,19.684,0.804,1.171,NORMAL,[]
WAREHOUSE_FULFILLMENT,ORD_1140618836,50.0,0.406758,BOTTLENECK,STEP_016_STAGING_COMPLETE,26.983,19.467,1.386,3.194,BOTTLENECK,[]
