process_code,case_id,risk_score,anomaly_score,overall_severity,top_step_name,top_step_duration_min,top_step_p95,top_step_deviation_p95,top_step_zscore,top_step_severity,validation_warnings
WAREHOUSE_FULFILLMENT,ORD_9165155166,99.0,0.600196,CRITICAL,STEP_016_STAGING_COMPLETE,86.467,19.467,4.442,13.958,CRITICAL,[]
WAREHOUSE_FULFILLMENT,ORD_0524073317,99.0,0.585578,CRITICAL,STEP_016_STAGING_COMPLETE,58.833,19.467,3.022,8.957,CRITICAL,[]
WAREHOUSE_FULFILLMENT,ORD_6776633655,99.0,0.583289,CRITICAL,STEP_006_PICK_START,160.933,24.1,6.678,21.22,CRITICAL,[]
WAREHOUSE_FULFILLMENT,ORD_5337336124,99.0,0.571497,CRITICAL,STEP_017_DOCK_ASSIGN,49.917,19.801,2.521,7.151,CRITICAL,[]
WAREHOUSE_FULFILLMENT,ORD_7061824197,99.0,0.566177,CRITICAL,STEP_011_PACKING_START,70.55,35.201,2.004,5.311,CRITICAL,[]
WAREHOUSE_FULFILLMENT,ORD_2603462867,99.0,0.563517,CRITICAL,STEP_006_PICK_START,53.65,24.1,2.226,5.986,CRITICAL,[]
WAREHOUSE_FULFILLMENT,ORD_4306951426,99.0,0.558131,CRITICAL,STEP_011_PACKING_START,61.133,35.201,1.737,4.384,CRITICAL,[]
WAREHOUSE_FULFILLMENT,ORD_7742652413,99.0,0.557402,CRITICAL,STEP_018_LOAD_TO_TRUCK,603.383,49.036,12.305,38.546,CRITICAL,[]
WAREHOUSE_FULFILLMENT,ORD_9336596859,99.0,0.551231,CRITICAL,STEP_009_SORTATION_COMPLETE,94.283,30.034,3.139,8.399,CRITICAL,[]
WAREHOUSE_FULFILLMENT,ORD_2907838588,99.0,0.550891,CRITICAL,STEP_016_STAGING_COMPLETE,35.367,19.467,1.817,4.711,CRITICAL,[]
WAREHOUSE_FULFILLMENT,ORD_0117531863,99.0,0.548897,BOTTLENECK,STEP_018_LOAD_TO_TRUCK,68.583,49.036,1.399,2.998,BOTTLENECK,[]
WAREHOUSE_FULFILLMENT,ORD_7302699032,99.0,0.548413,CRITICAL,STEP_009_SORTATION_COMPLETE,59.067,30.034,1.967,4.706,CRITICAL,[]
WAREHOUSE_FULFILLMENT,ORD_8938250414,99.0,0.548155,CRITICAL,STEP_009_SORTATION_COMPLETE,84.5,30.034,2.813,7.373,CRITICAL,[]
WAREHOUSE_FULFILLMENT,ORD_2543455046,99.0,0.540444,CRITICAL,STEP_007_PICK_COMPLETE,55.717,25.067,2.223,6.31,CRITICAL,[]
WAREHOUSE_FULFILLMENT,ORD_9520141861,99.0,0.539244,CRITICAL,STEP_007_PICK_COMPLETE,97.583,25.067,3.893,12.319,CRITICAL,[]
WAREHOUSE_FULFILLMENT,ORD_7806834086,99.0,0.538628,CRITICAL,STEP_016_STAGING_COMPLETE,32.85,19.467,1.688,4.256,CRITICAL,[]
WAREHOUSE_FULFILLMENT,ORD_5327188336,99.0,0.534686,CRITICAL,STEP_017_DOCK_ASSIGN,44.55,19.801,2.25,6.205,CRITICAL,[]
WAREHOUSE_FULFILLMENT,ORD_2560254847,99.0,0.534655,BOTTLENECK,STEP_007_PICK_COMPLETE,31.533,25.067,1.258,2.839,BOTTLENECK,[]
WAREHOUSE_FULFILLMENT,ORD_3703551405,98.0,0.532241,CRITICAL,STEP_018_LOAD_TO_TRUCK,93.367,49.036,1.904,4.645,CRITICAL,[]
WAREHOUSE_FULFILLMENT,ORD_0847529199,98.0,0.53027,CRITICAL,STEP_016_STAGING_COMPLETE,31.15,19.467,1.6,3.948,CRITICAL,[]
